name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,90,0,0,1,0,0,0,0,0,0,0,0,21,5.6,0.0,0.0,0.6,1,0.00,0.00,0.00,0.33,6,False,20,Arsenal,GK,60,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,20,Arsenal,GK,50,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Illan Meslier,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,20,Arsenal,GK,50,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Gabriel dos Santos Magalhães,4,90,0,0,1,0,0,0,0,0,0,0,0,23,18.2,3.2,6.0,2.7,1,0.13,0.02,0.15,0.33,8,False,20,Arsenal,DEF,80,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Jurriën Timber,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,20,Arsenal,DEF,65,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
William Saliba,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,20,Arsenal,DEF,60,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Myles Lewis-Skelly,7,70,0,0,1,0,0,0,0,0,0,0,0,15,10.6,3.2,5.0,1.9,1,0.07,0.02,0.09,0.33,3,False,20,Arsenal,MID,55,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Riccardo Calafiori,8,90,0,1,1,0,0,0,0,0,0,0,2,30,21.2,11.9,9.0,4.2,1,0.11,0.46,0.57,0.33,11,True,20,Arsenal,DEF,56,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Piero Hincapié,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,20,Arsenal,DEF,54,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Benjamin White,10,90,0,0,1,0,0,0,0,0,0,0,1,26,16.4,20.3,0.0,3.7,1,0.00,0.05,0.05,0.33,7,False,20,Arsenal,DEF,55,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Cristhian Mosquera,11,78,0,0,1,0,0,0,0,0,0,0,0,25,10.2,1.4,0.0,1.2,1,0.00,0.01,0.01,0.33,6,False,20,Arsenal,DEF,55,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Bukayo Saka,12,90,1,0,1,0,0,0,0,0,0,0,3,46,41.0,8.0,44.0,9.3,1,0.63,0.04,0.67,0.33,11,False,20,Arsenal,MID,95,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Declan Rice,13,84,0,0,1,0,0,0,0,0,0,0,0,19,24.0,27.6,0.0,5.2,1,0.00,0.10,0.10,0.33,5,False,20,Arsenal,MID,75,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Eberechi Eze,14,45,0,0,0,0,0,0,0,0,0,0,0,6,1.6,2.0,2.0,0.6,0,0.00,0.07,0.07,0.24,1,False,20,Arsenal,MID,65,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Martin Ødegaard,15,70,0,0,1,0,0,0,0,0,0,0,0,13,6.8,6.8,5.0,1.9,1,0.08,0.07,0.15,0.33,3,False,20,Arsenal,MID,66,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Noni Madueke,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,20,Arsenal,MID,64,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Mikel Merino Zazón,17,19,0,0,0,0,0,0,0,0,0,0,0,7,2.8,1.0,0.0,0.4,0,0.00,0.00,0.00,0.00,1,False,20,Arsenal,MID,60,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Gabriel Martinelli Silva,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,20,Arsenal,MID,64,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Martín Zubimendi Ibáñez,19,5,0,0,0,0,0,0,0,0,0,0,0,5,4.8,0.9,0.0,0.6,0,0.00,0.00,0.00,0.00,1,False,20,Arsenal,MID,55,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Max Dowman,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,20,Arsenal,MID,54,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Christian Nørgaard,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,12,Everton,MID,50,Everton,Bournemouth,1.0,1.0,False,Bournemouth,2
Ethan Nwaneri,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,20,Arsenal,MID,55,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Fábio Ferreira Vieira,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,20,Arsenal,MID,55,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Reiss Nelson,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,20,Arsenal,MID,55,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
Viktor Gyökeres,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,20,Arsenal,FWD,74,Arsenal,Aston Villa,1.0,0.0,False,Aston Villa,2
