name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,90,0,0,0,1,0,0,0,0,0,2,0,12,20.0,0.0,0.0,2.0,1,0.00,0.00,0.00,2.67,2,False,181,Arsenal,GK,60,Aston Villa,Arsenal,1,4,True,Aston Villa,19
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,181,Arsenal,GK,41,Aston Villa,Arsenal,1,4,True,Aston Villa,19
Karl Hein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,181,Arsenal,GK,40,Aston Villa,Arsenal,1,4,True,Aston Villa,19
Tommy Setford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,181,Arsenal,GK,39,Aston Villa,Arsenal,1,4,True,Aston Villa,19
Gabriel dos Santos Magalhães,5,76,1,0,1,0,0,0,0,0,0,0,3,40,47.8,1.4,35.0,8.4,1,0.41,0.01,0.42,0.67,15,True,181,Arsenal,DEF,64,Aston Villa,Arsenal,1,4,True,Aston Villa,19
William Saliba,6,90,0,0,0,1,0,0,0,0,0,0,0,10,9.4,1.0,0.0,1.0,1,0.00,0.01,0.01,2.67,2,False,181,Arsenal,DEF,59,Aston Villa,Arsenal,1,4,True,Aston Villa,19
Riccardo Calafiori,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,181,Arsenal,DEF,57,Aston Villa,Arsenal,1,4,True,Aston Villa,19
Jurriën Timber,8,82,0,1,1,0,0,0,0,0,0,0,0,28,21.2,22.3,26.0,7.0,1,0.30,0.01,0.31,0.67,9,False,181,Arsenal,DEF,64,Aston Villa,Arsenal,1,4,True,Aston Villa,19
Jakub Kiwior,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,181,Arsenal,DEF,54,Aston Villa,Arsenal,1,4,True,Aston Villa,19
Myles Lewis-Skelly,10,13,0,0,0,1,0,0,0,0,0,0,0,-1,0.2,0.2,0.0,0.0,0,0.00,0.00,0.00,2.00,1,False,181,Arsenal,DEF,51,Aston Villa,Arsenal,1,4,True,Aston Villa,19
