name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,90,0,0,1,0,0,0,0,1,0,7,3,38,49.2,0.0,0.0,4.9,1,0.00,0.00,0.00,1.52,10,True,9,Arsenal,GK,55,Arsenal,Manchester United,1,0,False,Manchester United,1
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,9,Arsenal,GK,45,Arsenal,Manchester United,1,0,False,Manchester United,1
Karl Hein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,9,Arsenal,GK,40,Arsenal,Manchester United,1,0,False,Manchester United,1
Tommy Setford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,9,Arsenal,GK,40,Arsenal,Manchester United,1,0,False,Manchester United,1
Gabriel dos Santos Magalhães,5,90,0,0,1,0,0,0,0,0,0,0,0,23,22.8,0.3,4.0,2.7,1,0.00,0.00,0.00,1.52,6,False,9,Arsenal,DEF,60,Arsenal,Manchester United,1,0,False,Manchester United,1
William Saliba,6,90,0,0,1,0,0,0,0,0,0,0,1,25,31.4,0.1,0.0,3.2,1,0.00,0.00,0.00,1.52,9,False,9,Arsenal,DEF,60,Arsenal,Manchester United,1,0,False,Manchester United,1
Riccardo Calafiori,7,71,1,0,1,0,0,0,0,1,0,0,2,33,36.2,2.1,35.0,7.3,1,0.91,0.01,0.92,0.87,13,True,9,Arsenal,DEF,55,Arsenal,Manchester United,1,0,False,Manchester United,1
Jurriën Timber,8,19,0,0,0,0,0,0,0,1,0,0,0,-3,3.0,0.3,0.0,0.3,0,0.00,0.00,0.00,0.66,0,False,9,Arsenal,DEF,55,Arsenal,Manchester United,1,0,False,Manchester United,1
Jakub Kiwior,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,9,Arsenal,DEF,55,Arsenal,Manchester United,1,0,False,Manchester United,1
Myles Lewis-Skelly,10,18,0,0,0,0,0,0,0,1,0,0,0,-1,0.2,0.0,0.0,0.0,0,0.00,0.00,0.00,0.66,0,False,9,Arsenal,DEF,55,Arsenal,Manchester United,1,0,False,Manchester United,1
Benjamin White,11,70,0,0,1,0,0,0,0,0,0,0,0,23,15.4,11.3,1.0,2.8,1,0.01,0.01,0.02,0.87,6,False,9,Arsenal,DEF,55,Arsenal,Manchester United,1,0,False,Manchester United,1
Oleksandr Zinchenko,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,9,Arsenal,DEF,50,Arsenal,Manchester United,1,0,False,Manchester United,1
Brayden Clarke,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,9,Arsenal,DEF,40,Arsenal,Manchester United,1,0,False,Manchester United,1
Maldini Kacurri,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,9,Arsenal,DEF,40,Arsenal,Manchester United,1,0,False,Manchester United,1
Josh Nichols,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,9,Arsenal,DEF,40,Arsenal,Manchester United,1,0,False,Manchester United,1
Bukayo Saka,16,90,0,0,1,0,0,0,0,0,0,0,0,7,12.0,16.4,7.0,3.5,1,0.15,0.09,0.24,1.52,3,False,9,Arsenal,MID,100,Arsenal,Manchester United,1,0,False,Manchester United,1
Martin Ødegaard,17,90,0,0,1,0,0,0,0,0,0,0,0,16,17.8,20.3,17.0,5.5,1,0.09,0.29,0.38,1.52,5,False,9,Arsenal,MID,80,Arsenal,Manchester United,1,0,False,Manchester United,1
Noni Madueke,18,30,0,0,0,0,0,0,0,0,0,0,0,2,1.6,10.7,2.0,1.4,0,0.00,0.02,0.02,0.82,1,False,9,Arsenal,MID,70,Arsenal,Manchester United,1,0,False,Manchester United,1
Gabriel Martinelli Silva,19,59,0,0,0,0,0,0,0,0,0,0,0,8,6.2,10.3,21.0,3.8,1,0.02,0.01,0.03,0.70,1,False,9,Arsenal,MID,70,Arsenal,Manchester United,1,0,False,Manchester United,1
Leandro Trossard,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,9,Arsenal,MID,70,Arsenal,Manchester United,1,0,False,Manchester United,1
Declan Rice,21,82,0,1,1,0,0,0,0,0,0,0,0,14,2.6,1.3,8.0,1.2,1,0.13,0.01,0.14,1.04,6,False,9,Arsenal,MID,65,Arsenal,Manchester United,1,0,False,Manchester United,1
Mikel Merino Zazón,22,7,0,0,0,0,0,0,0,0,0,0,0,2,1.2,0.0,0.0,0.1,0,0.00,0.00,0.00,0.49,1,False,9,Arsenal,MID,60,Arsenal,Manchester United,1,0,False,Manchester United,1
Fábio Ferreira Vieira,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,9,Arsenal,MID,55,Arsenal,Manchester United,1,0,False,Manchester United,1
Christian Nørgaard,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,9,Arsenal,MID,55,Arsenal,Manchester United,1,0,False,Manchester United,1
Ethan Nwaneri,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,9,Arsenal,MID,55,Arsenal,Manchester United,1,0,False,Manchester United,1
Martín Zubimendi Ibáñez,26,90,0,0,1,0,0,0,0,0,0,0,0,15,16.0,1.9,2.0,2.0,1,0.00,0.01,0.01,1.52,5,False,9,Arsenal,MID,55,Arsenal,Manchester United,1,0,False,Manchester United,1
Reiss Nelson,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,9,Arsenal,MID,50,Arsenal,Manchester United,1,0,False,Manchester United,1
Ismeal Kabia,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,9,Arsenal,MID,45,Arsenal,Manchester United,1,0,False,Manchester United,1
Albert Sambi Lokonga,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,9,Arsenal,MID,45,Arsenal,Manchester United,1,0,False,Manchester United,1
Kai Havertz,30,30,0,0,0,0,0,0,0,0,0,0,0,4,2.8,0.8,2.0,0.6,0,0.00,0.01,0.01,0.82,1,False,9,Arsenal,FWD,75,Arsenal,Manchester United,1,0,False,Manchester United,1
