name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,90,0,0,0,1,0,0,0,0,0,1,0,6,6.6,0.0,0.0,0.7,1,0.00,0.00,0.00,0.07,2,False,111,Arsenal,GK,59,Tottenham,Arsenal,1,4,True,Tottenham,12
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,111,Arsenal,GK,42,Tottenham,Arsenal,1,4,True,Tottenham,12
Karl Hein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,111,Arsenal,GK,40,Tottenham,Arsenal,1,4,True,Tottenham,12
Tommy Setford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,111,Arsenal,GK,40,Tottenham,Arsenal,1,4,True,Tottenham,12
Gabriel dos Santos Magalhães,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,111,Arsenal,DEF,64,Tottenham,Arsenal,1,4,True,Tottenham,12
William Saliba,6,90,0,0,0,1,0,0,0,0,0,0,0,12,15.6,1.5,0.0,1.7,1,0.00,0.01,0.01,0.07,2,False,111,Arsenal,DEF,60,Tottenham,Arsenal,1,4,True,Tottenham,12
Riccardo Calafiori,7,90,0,0,0,1,0,0,0,0,0,0,0,9,9.6,2.3,6.0,1.8,1,0.07,0.03,0.10,0.07,2,False,111,Arsenal,DEF,58,Tottenham,Arsenal,1,4,True,Tottenham,12
Jurriën Timber,8,90,0,1,0,1,0,0,0,0,0,0,0,6,15.0,14.8,20.0,5.0,1,0.50,0.04,0.54,0.07,5,False,111,Arsenal,DEF,63,Tottenham,Arsenal,1,4,True,Tottenham,12
Jakub Kiwior,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,111,Arsenal,DEF,54,Tottenham,Arsenal,1,4,True,Tottenham,12
Myles Lewis-Skelly,10,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,1,False,111,Arsenal,DEF,51,Tottenham,Arsenal,1,4,True,Tottenham,12
Benjamin White,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,111,Arsenal,DEF,53,Tottenham,Arsenal,1,4,True,Tottenham,12
Oleksandr Zinchenko,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,117,Nottingham,DEF,49,Nottingham,Liverpool,3,0,False,Liverpool,12
Brayden Clarke,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,111,Arsenal,DEF,38,Tottenham,Arsenal,1,4,True,Tottenham,12
Maldini Kacurri,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,111,Arsenal,DEF,39,Tottenham,Arsenal,1,4,True,Tottenham,12
Josh Nichols,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,111,Arsenal,DEF,39,Tottenham,Arsenal,1,4,True,Tottenham,12
Bukayo Saka,16,90,0,0,0,1,0,0,0,0,0,0,0,16,17.4,27.3,21.0,6.6,1,0.11,0.09,0.20,0.07,4,False,111,Arsenal,MID,101,Tottenham,Arsenal,1,4,True,Tottenham,12
Martin Ødegaard,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,111,Arsenal,MID,78,Tottenham,Arsenal,1,4,True,Tottenham,12
Noni Madueke,18,12,0,0,0,0,0,0,0,0,0,0,0,4,2.4,0.4,2.0,0.5,0,0.00,0.01,0.01,0.02,1,False,111,Arsenal,MID,68,Tottenham,Arsenal,1,4,True,Tottenham,12
Gabriel Martinelli Silva,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,111,Arsenal,MID,68,Tottenham,Arsenal,1,4,True,Tottenham,12
Leandro Trossard,20,77,1,1,0,1,0,0,0,0,0,0,2,39,58.2,25.8,29.0,11.3,1,0.22,0.08,0.30,0.06,12,True,111,Arsenal,MID,69,Tottenham,Arsenal,1,4,True,Tottenham,12
Declan Rice,21,90,0,1,0,1,0,0,0,1,0,0,0,27,37.0,40.8,17.0,9.5,1,0.26,0.38,0.64,0.07,6,False,111,Arsenal,MID,69,Tottenham,Arsenal,1,4,True,Tottenham,12
Mikel Merino Zazón,22,87,0,1,0,1,0,0,0,0,0,0,0,24,24.4,15.8,5.0,4.5,1,0.06,0.44,0.50,0.07,5,False,111,Arsenal,MID,59,Tottenham,Arsenal,1,4,True,Tottenham,12
Fábio Ferreira Vieira,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,111,Arsenal,MID,54,Tottenham,Arsenal,1,4,True,Tottenham,12
Christian Nørgaard,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,111,Arsenal,MID,52,Tottenham,Arsenal,1,4,True,Tottenham,12
Ethan Nwaneri,25,2,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,0,0.00,0.00,0.00,0.00,1,False,111,Arsenal,MID,51,Tottenham,Arsenal,1,4,True,Tottenham,12
Martín Zubimendi Ibáñez,26,90,0,0,0,1,0,0,0,0,0,0,0,12,8.8,16.7,2.0,2.8,1,0.05,0.01,0.06,0.07,2,False,111,Arsenal,MID,54,Tottenham,Arsenal,1,4,True,Tottenham,12
Reiss Nelson,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,113,Brentford,MID,48,Brentford,Brighton,1,2,False,Brighton,12
Ismeal Kabia,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,111,Arsenal,MID,45,Tottenham,Arsenal,1,4,True,Tottenham,12
Albert Sambi Lokonga,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,111,Arsenal,MID,45,Tottenham,Arsenal,1,4,True,Tottenham,12
Kai Havertz,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,111,Arsenal,FWD,73,Tottenham,Arsenal,1,4,True,Tottenham,12
Gabriel Fernando de Jesus,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,111,Arsenal,FWD,64,Tottenham,Arsenal,1,4,True,Tottenham,12
Emiliano Martínez Romero,32,90,0,0,0,1,0,0,0,0,0,3,0,15,27.8,0.0,0.0,2.8,1,0.00,0.00,0.00,1.79,3,False,116,Aston Villa,GK,50,Aston Villa,Leeds United,2,1,False,Leeds United,12
Marco Bizot,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,116,Aston Villa,GK,43,Aston Villa,Leeds United,2,1,False,Leeds United,12
Joe Gauci,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,116,Aston Villa,GK,40,Aston Villa,Leeds United,2,1,False,Leeds United,12
Filip Marschall,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,116,Aston Villa,GK,40,Aston Villa,Leeds United,2,1,False,Leeds United,12
Matty Cash,36,90,0,0,0,1,0,0,0,0,0,0,0,10,14.2,29.8,4.0,4.8,1,0.09,0.26,0.35,1.79,2,False,116,Aston Villa,DEF,46,Aston Villa,Leeds United,2,1,False,Leeds United,12
Lucas Digne,37,45,0,0,0,1,0,0,0,0,0,0,0,1,2.6,5.1,0.0,0.8,1,0.00,0.06,0.06,1.23,1,False,116,Aston Villa,DEF,45,Aston Villa,Leeds United,2,1,False,Leeds United,12
Ezri Konsa Ngoyo,38,90,0,0,0,1,0,0,0,0,0,0,0,19,25.0,0.9,0.0,2.6,1,0.00,0.00,0.00,1.79,2,False,116,Aston Villa,DEF,44,Aston Villa,Leeds United,2,1,False,Leeds United,12
Ian Maatsen,39,45,0,0,0,0,0,0,0,0,0,0,0,5,8.4,1.0,7.0,1.6,0,0.10,0.00,0.10,0.56,1,False,116,Aston Villa,DEF,42,Aston Villa,Leeds United,2,1,False,Leeds United,12
Tyrone Mings,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,116,Aston Villa,DEF,44,Aston Villa,Leeds United,2,1,False,Leeds United,12
Pau Torres,41,90,0,0,0,1,0,0,0,0,0,0,0,17,33.8,0.6,0.0,3.4,1,0.00,0.00,0.00,1.79,4,False,116,Aston Villa,DEF,43,Aston Villa,Leeds United,2,1,False,Leeds United,12
Andrés García,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,116,Aston Villa,DEF,39,Aston Villa,Leeds United,2,1,False,Leeds United,12
Álex Moreno Lopera,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,116,Aston Villa,DEF,40,Aston Villa,Leeds United,2,1,False,Leeds United,12
Lamare Bogarde,44,6,0,0,0,0,0,0,0,0,0,0,0,2,0.6,0.1,0.0,0.1,0,0.00,0.00,0.00,0.20,1,False,116,Aston Villa,DEF,40,Aston Villa,Leeds United,2,1,False,Leeds United,12
Lino da Cruz Sousa,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,116,Aston Villa,DEF,39,Aston Villa,Leeds United,2,1,False,Leeds United,12
Yasin Özcan,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,116,Aston Villa,DEF,40,Aston Villa,Leeds United,2,1,False,Leeds United,12
Morgan Rogers,47,90,2,0,0,1,0,0,0,0,0,0,3,49,76.4,22.0,48.0,14.6,1,0.25,0.04,0.29,1.79,15,True,116,Aston Villa,MID,68,Aston Villa,Leeds United,2,1,False,Leeds United,12
Youri Tielemans,48,83,0,0,0,1,0,0,0,0,0,0,0,15,13.6,22.9,8.0,4.5,1,0.08,0.07,0.15,1.59,2,False,116,Aston Villa,MID,59,Aston Villa,Leeds United,2,1,False,Leeds United,12
Leon Bailey,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,116,Aston Villa,MID,55,Aston Villa,Leeds United,2,1,False,Leeds United,12
Emiliano Buendía Stati,50,45,0,0,0,1,0,0,0,0,0,0,0,2,2.6,1.6,3.0,0.7,1,0.08,0.00,0.08,1.23,1,False,116,Aston Villa,MID,53,Aston Villa,Leeds United,2,1,False,Leeds United,12
Samuel Iling-Junior,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,116,Aston Villa,MID,55,Aston Villa,Leeds United,2,1,False,Leeds United,12
Jacob Ramsey,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,119,Newcastle,MID,53,Manchester City,Newcastle,1,2,True,Manchester City,12
Donyell Malen,53,45,0,1,0,0,0,0,0,0,0,0,0,13,20.8,24.5,14.0,5.9,0,0.61,0.18,0.79,0.56,4,False,116,Aston Villa,MID,51,Aston Villa,Leeds United,2,1,False,Leeds United,12
John McGinn,54,67,0,0,0,1,0,0,0,1,0,0,0,5,1.8,15.7,4.0,2.2,1,0.03,0.02,0.05,1.39,1,False,116,Aston Villa,MID,54,Aston Villa,Leeds United,2,1,False,Leeds United,12
Ross Barkley,55,22,0,1,0,0,0,0,0,0,0,0,0,12,0.0,4.1,2.0,0.6,0,0.00,0.01,0.01,0.40,4,False,116,Aston Villa,MID,48,Aston Villa,Leeds United,2,1,False,Leeds United,12
Enzo Barrenechea,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,116,Aston Villa,MID,50,Aston Villa,Leeds United,2,1,False,Leeds United,12
Lewis Dobbin,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,116,Aston Villa,MID,50,Aston Villa,Leeds United,2,1,False,Leeds United,12
Boubacar Kamara,58,90,0,0,0,1,0,0,0,0,0,0,0,18,27.2,22.9,0.0,5.0,1,0.00,0.07,0.07,1.79,4,False,116,Aston Villa,MID,49,Aston Villa,Leeds United,2,1,False,Leeds United,12
Amadou Onana,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,116,Aston Villa,MID,48,Aston Villa,Leeds United,2,1,False,Leeds United,12
