name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,90,0,0,0,3,0,0,0,0,0,0,0,-3,4.8,0.0,0.0,0.5,1,0.00,0.01,0.01,0.71,1,False,221,Arsenal,GK,59,Manchester United,Arsenal,3,2,True,Manchester United,23
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,221,Arsenal,GK,41,Manchester United,Arsenal,3,2,True,Manchester United,23
Karl Hein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,221,Arsenal,GK,40,Manchester United,Arsenal,3,2,True,Manchester United,23
Tommy Setford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,221,Arsenal,GK,39,Manchester United,Arsenal,3,2,True,Manchester United,23
Gabriel dos Santos Magalhães,5,90,0,0,0,3,0,0,0,0,0,0,0,1,13.4,4.2,2.0,2.0,1,0.00,0.01,0.01,0.71,1,False,221,Arsenal,DEF,69,Manchester United,Arsenal,3,2,True,Manchester United,23
William Saliba,6,90,0,0,0,3,0,0,0,0,0,0,0,5,14.6,34.8,2.0,5.1,1,0.00,0.09,0.09,0.71,1,False,221,Arsenal,DEF,60,Manchester United,Arsenal,3,2,True,Manchester United,23
Riccardo Calafiori,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,221,Arsenal,DEF,56,Manchester United,Arsenal,3,2,True,Manchester United,23
Jurriën Timber,8,90,0,0,0,3,0,0,0,0,0,0,0,-2,5.4,2.3,2.0,1.0,1,0.00,0.01,0.01,0.71,1,False,221,Arsenal,DEF,63,Manchester United,Arsenal,3,2,True,Manchester United,23
Jakub Kiwior,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,221,Arsenal,DEF,54,Manchester United,Arsenal,3,2,True,Manchester United,23
Myles Lewis-Skelly,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,221,Arsenal,DEF,51,Manchester United,Arsenal,3,2,True,Manchester United,23
Benjamin White,11,32,0,0,0,1,0,0,0,0,0,0,0,2,10.6,1.0,2.0,1.4,0,0.00,0.02,0.02,0.27,1,False,221,Arsenal,DEF,51,Manchester United,Arsenal,3,2,True,Manchester United,23
Oleksandr Zinchenko,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,223,Nottingham,DEF,49,Nottingham,Brentford,2,0,False,Brentford,23
Brayden Clarke,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,221,Arsenal,DEF,38,Manchester United,Arsenal,3,2,True,Manchester United,23
Maldini Kacurri,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,221,Arsenal,DEF,39,Manchester United,Arsenal,3,2,True,Manchester United,23
Josh Nichols,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,221,Arsenal,DEF,38,Manchester United,Arsenal,3,2,True,Manchester United,23
Bukayo Saka,16,90,0,0,0,3,0,0,0,0,0,0,0,19,18.6,45.5,33.0,9.7,1,0.07,0.43,0.50,0.71,2,False,221,Arsenal,MID,101,Manchester United,Arsenal,3,2,True,Manchester United,23
