name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,90,0,0,1,0,0,0,0,0,0,0,0,20,3.2,0.0,0.0,0.3,1,0.00,0.00,0.00,0.49,6,False,61,Arsenal,GK,57,West Ham,Arsenal,0,2,True,West Ham,7
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,61,Arsenal,GK,43,West Ham,Arsenal,0,2,True,West Ham,7
Karl Hein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,61,Arsenal,GK,40,West Ham,Arsenal,0,2,True,West Ham,7
Tommy Setford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,61,Arsenal,GK,40,West Ham,Arsenal,0,2,True,West Ham,7
Gabriel dos Santos Magalhães,5,90,0,0,1,0,0,0,0,0,0,0,1,33,24.6,2.0,2.0,2.9,1,0.00,0.03,0.03,0.49,9,False,61,Arsenal,DEF,62,West Ham,Arsenal,0,2,True,West Ham,7
William Saliba,6,90,0,0,1,0,0,0,0,0,0,0,0,30,28.2,2.2,0.0,3.0,1,0.00,0.02,0.02,0.49,6,False,61,Arsenal,DEF,60,West Ham,Arsenal,0,2,True,West Ham,7
Riccardo Calafiori,7,74,0,0,1,0,0,0,0,0,0,0,0,26,8.8,5.4,19.0,3.3,1,0.17,0.02,0.19,0.36,6,False,61,Arsenal,DEF,57,West Ham,Arsenal,0,2,True,West Ham,7
Jurriën Timber,8,90,0,1,1,0,0,0,0,0,0,0,2,43,20.2,16.8,29.0,6.6,1,0.16,0.03,0.19,0.49,11,True,61,Arsenal,DEF,59,West Ham,Arsenal,0,2,True,West Ham,7
Jakub Kiwior,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,61,Arsenal,DEF,54,West Ham,Arsenal,0,2,True,West Ham,7
Myles Lewis-Skelly,10,15,0,0,0,0,0,0,0,0,0,0,0,2,3.2,0.3,2.0,0.6,0,0.00,0.00,0.00,0.13,1,False,61,Arsenal,DEF,52,West Ham,Arsenal,0,2,True,West Ham,7
Benjamin White,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,61,Arsenal,DEF,54,West Ham,Arsenal,0,2,True,West Ham,7
Oleksandr Zinchenko,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,69,Nottingham,DEF,49,Nottingham,Newcastle,0,2,False,Newcastle,7
Brayden Clarke,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,61,Arsenal,DEF,39,West Ham,Arsenal,0,2,True,West Ham,7
Maldini Kacurri,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,61,Arsenal,DEF,39,West Ham,Arsenal,0,2,True,West Ham,7
Josh Nichols,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,61,Arsenal,DEF,39,West Ham,Arsenal,0,2,True,West Ham,7
Bukayo Saka,16,90,1,0,1,0,0,0,0,0,0,0,0,22,38.8,23.6,31.0,9.3,1,0.84,1.11,1.95,0.49,8,False,61,Arsenal,MID,99,West Ham,Arsenal,0,2,True,West Ham,7
Martin Ødegaard,17,29,0,0,0,0,0,0,0,0,0,0,0,4,3.2,16.5,0.0,2.0,1,0.00,0.21,0.21,0.34,1,False,61,Arsenal,MID,79,West Ham,Arsenal,0,2,True,West Ham,7
Noni Madueke,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,61,Arsenal,MID,69,West Ham,Arsenal,0,2,True,West Ham,7
Gabriel Martinelli Silva,19,11,0,0,0,0,0,0,0,0,0,0,0,3,2.0,14.0,2.0,1.8,0,0.00,0.06,0.06,0.13,1,False,61,Arsenal,MID,69,West Ham,Arsenal,0,2,True,West Ham,7
Leandro Trossard,20,74,0,0,1,0,0,0,0,0,0,0,0,16,10.8,28.5,20.0,5.9,1,0.12,0.09,0.21,0.36,3,False,61,Arsenal,MID,69,West Ham,Arsenal,0,2,True,West Ham,7
Declan Rice,21,78,1,0,1,0,0,0,0,0,0,0,3,45,45.6,40.4,23.0,10.9,1,0.32,0.12,0.44,0.36,11,True,61,Arsenal,MID,65,West Ham,Arsenal,0,2,True,West Ham,7
Mikel Merino Zazón,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.7,12.0,1.2,0,0.16,0.00,0.16,0.13,1,False,61,Arsenal,MID,59,West Ham,Arsenal,0,2,True,West Ham,7
Fábio Ferreira Vieira,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,61,Arsenal,MID,54,West Ham,Arsenal,0,2,True,West Ham,7
