name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,90,0,0,0,1,0,0,0,0,0,4,0,12,1.2,0.0,0.0,0.1,1,0.00,0.01,0.01,1.05,3,False,271,Arsenal,GK,60,Chelsea,Arsenal,1,2,True,Chelsea,28
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,271,Arsenal,GK,41,Chelsea,Arsenal,1,2,True,Chelsea,28
Karl Hein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,271,Arsenal,GK,40,Chelsea,Arsenal,1,2,True,Chelsea,28
Tommy Setford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,271,Arsenal,GK,39,Chelsea,Arsenal,1,2,True,Chelsea,28
Gabriel dos Santos Magalhães,5,90,0,1,0,1,0,0,0,1,0,0,3,27,6.6,0.6,2.0,0.9,1,0.03,0.57,0.60,1.05,9,False,271,Arsenal,DEF,71,Chelsea,Arsenal,1,2,True,Chelsea,28
William Saliba,6,90,1,0,0,1,0,0,0,0,0,0,2,26,33.6,0.1,33.0,6.7,1,0.26,0.00,0.26,1.05,10,True,271,Arsenal,DEF,61,Chelsea,Arsenal,1,2,True,Chelsea,28
Riccardo Calafiori,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,271,Arsenal,DEF,56,Chelsea,Arsenal,1,2,True,Chelsea,28
Jurriën Timber,8,90,1,0,0,1,0,0,0,0,0,0,0,25,2.6,10.7,0.0,1.3,1,0.41,0.01,0.42,1.05,8,False,271,Arsenal,DEF,63,Chelsea,Arsenal,1,2,True,Chelsea,28
Jakub Kiwior,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,271,Arsenal,DEF,54,Chelsea,Arsenal,1,2,True,Chelsea,28
Myles Lewis-Skelly,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,271,Arsenal,DEF,51,Chelsea,Arsenal,1,2,True,Chelsea,28
Benjamin White,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,271,Arsenal,DEF,51,Chelsea,Arsenal,1,2,True,Chelsea,28
Oleksandr Zinchenko,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,273,Nottingham,DEF,49,Nottingham,Brighton,1,2,False,Brighton,28
Brayden Clarke,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,271,Arsenal,DEF,38,Chelsea,Arsenal,1,2,True,Chelsea,28
Maldini Kacurri,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,271,Arsenal,DEF,39,Chelsea,Arsenal,1,2,True,Chelsea,28
Josh Nichols,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,271,Arsenal,DEF,37,Chelsea,Arsenal,1,2,True,Chelsea,28
Bukayo Saka,16,90,0,0,0,1,0,0,0,0,0,0,0,9,4.2,14.4,2.0,2.1,1,0.01,0.29,0.30,1.05,2,False,271,Arsenal,MID,98,Chelsea,Arsenal,1,2,True,Chelsea,28
Martin Ødegaard,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,271,Arsenal,MID,78,Chelsea,Arsenal,1,2,True,Chelsea,28
Noni Madueke,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,271,Arsenal,MID,68,Chelsea,Arsenal,1,2,True,Chelsea,28
Gabriel Martinelli Silva,19,34,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.01,0.01,0.22,1,False,271,Arsenal,MID,68,Chelsea,Arsenal,1,2,True,Chelsea,28
Leandro Trossard,20,55,0,0,0,1,0,0,0,0,0,0,0,4,0.4,0.3,5.0,0.6,1,0.02,0.06,0.08,0.83,1,False,271,Arsenal,MID,67,Chelsea,Arsenal,1,2,True,Chelsea,28
Declan Rice,21,75,0,1,0,1,0,0,0,0,0,0,0,25,1.8,1.2,0.0,0.3,1,0.04,0.24,0.28,1.00,5,False,271,Arsenal,MID,75,Chelsea,Arsenal,1,2,True,Chelsea,28
Mikel Merino Zazón,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,271,Arsenal,MID,54,Chelsea,Arsenal,1,2,True,Chelsea,28
Fábio Ferreira Vieira,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,271,Arsenal,MID,54,Chelsea,Arsenal,1,2,True,Chelsea,28
Christian Nørgaard,24,14,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.05,1,False,271,Arsenal,MID,51,Chelsea,Arsenal,1,2,True,Chelsea,28
Ethan Nwaneri,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,271,Arsenal,MID,50,Chelsea,Arsenal,1,2,True,Chelsea,28
Martín Zubimendi Ibáñez,26,90,0,0,0,1,0,0,0,0,0,0,0,11,0.0,0.3,1.0,0.1,1,0.08,0.21,0.29,1.05,2,False,271,Arsenal,MID,52,Chelsea,Arsenal,1,2,True,Chelsea,28
Reiss Nelson,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,274,Brentford,MID,48,Brentford,Burnley,4,3,False,Burnley,28
