name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,90,0,0,1,0,0,0,0,0,0,0,0,19,4.4,0.0,0.0,0.4,1,0.00,0.00,0.00,0.36,6,False,201,Arsenal,GK,59,Liverpool,Arsenal,0,0,True,Liverpool,21
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,201,Arsenal,GK,41,Liverpool,Arsenal,0,0,True,Liverpool,21
Karl Hein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,201,Arsenal,GK,40,Liverpool,Arsenal,0,0,True,Liverpool,21
Tommy Setford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,201,Arsenal,GK,39,Liverpool,Arsenal,0,0,True,Liverpool,21
Gabriel dos Santos Magalhães,5,90,0,0,1,0,0,0,0,0,0,0,0,25,21.8,7.3,12.0,4.1,1,0.14,0.05,0.19,0.36,6,False,201,Arsenal,DEF,67,Liverpool,Arsenal,0,0,True,Liverpool,21
William Saliba,6,90,0,0,1,0,0,0,0,0,0,0,1,28,13.8,19.3,0.0,3.3,1,0.00,0.15,0.15,0.36,7,False,201,Arsenal,DEF,59,Liverpool,Arsenal,0,0,True,Liverpool,21
Riccardo Calafiori,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,201,Arsenal,DEF,56,Liverpool,Arsenal,0,0,True,Liverpool,21
Jurriën Timber,8,90,0,0,1,0,0,0,0,0,0,0,0,24,11.0,3.7,8.0,2.3,1,0.00,0.02,0.02,0.36,6,False,201,Arsenal,DEF,63,Liverpool,Arsenal,0,0,True,Liverpool,21
Jakub Kiwior,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,201,Arsenal,DEF,54,Liverpool,Arsenal,0,0,True,Liverpool,21
Myles Lewis-Skelly,10,33,0,0,0,0,0,0,0,0,0,0,0,5,4.2,10.1,0.0,1.4,0,0.00,0.00,0.00,0.22,1,False,201,Arsenal,DEF,51,Liverpool,Arsenal,0,0,True,Liverpool,21
