name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,90,0,0,0,2,0,0,0,0,0,1,0,8,14.4,0.0,0.0,1.4,1,0.00,0.00,0.00,1.19,1,False,311,Arsenal,GK,60,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,311,Arsenal,GK,40,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Karl Hein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,311,Arsenal,GK,40,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Tommy Setford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,311,Arsenal,GK,39,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Gabriel dos Santos Magalhães,5,90,0,1,0,2,0,0,0,0,0,0,0,12,16.0,0.6,21.0,3.8,1,0.08,0.01,0.09,1.19,4,False,311,Arsenal,DEF,71,Bournemouth,Arsenal,2,1,True,Bournemouth,32
William Saliba,6,90,0,0,0,2,0,0,0,0,0,0,0,12,16.6,10.8,2.0,2.9,1,0.00,0.00,0.00,1.19,1,False,311,Arsenal,DEF,61,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Riccardo Calafiori,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,311,Arsenal,DEF,56,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Jurriën Timber,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,311,Arsenal,DEF,62,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Jakub Kiwior,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,311,Arsenal,DEF,54,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Myles Lewis-Skelly,10,90,0,0,0,2,0,0,0,0,0,0,0,5,14.0,2.3,7.0,2.3,1,0.05,0.02,0.07,1.19,1,False,311,Arsenal,DEF,50,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Benjamin White,11,75,0,0,0,2,0,0,0,0,0,0,0,13,20.2,12.3,2.0,3.5,1,0.02,0.02,0.04,1.18,1,False,311,Arsenal,DEF,51,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Oleksandr Zinchenko,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,318,Nottingham,DEF,49,Aston Villa,Nottingham,1,1,True,Aston Villa,32
Brayden Clarke,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,311,Arsenal,DEF,37,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Maldini Kacurri,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,311,Arsenal,DEF,39,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Josh Nichols,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,311,Arsenal,DEF,37,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Bukayo Saka,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,311,Arsenal,MID,98,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Martin Ødegaard,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,311,Arsenal,MID,78,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Noni Madueke,18,53,0,0,0,1,0,0,0,0,0,0,0,4,3.4,5.9,4.0,1.3,1,0.00,0.07,0.07,0.70,1,False,311,Arsenal,MID,68,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Gabriel Martinelli Silva,19,53,0,0,0,1,0,0,0,0,0,0,0,3,1.2,10.8,2.0,1.4,1,0.00,0.01,0.01,0.70,1,False,311,Arsenal,MID,68,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Leandro Trossard,20,36,0,0,0,1,0,0,0,0,0,0,0,4,8.0,14.0,6.0,2.8,0,0.00,0.01,0.01,0.49,1,False,311,Arsenal,MID,65,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Declan Rice,21,90,0,0,0,2,0,0,0,0,0,0,2,26,20.4,39.3,13.0,7.3,1,0.10,0.33,0.43,1.19,4,False,311,Arsenal,MID,72,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Mikel Merino Zazón,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,311,Arsenal,MID,54,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Fábio Ferreira Vieira,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,311,Arsenal,MID,54,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Christian Nørgaard,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,311,Arsenal,MID,51,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Ethan Nwaneri,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,311,Arsenal,MID,50,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Martín Zubimendi Ibáñez,26,75,0,0,0,2,0,0,0,0,0,0,0,14,10.6,4.9,4.0,2.0,1,0.00,0.01,0.01,1.18,2,False,311,Arsenal,MID,50,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Reiss Nelson,27,45,0,0,0,1,0,0,0,0,0,0,0,5,5.6,13.8,5.0,2.4,0,0.03,0.02,0.05,0.74,1,False,312,Brentford,MID,48,Everton,Brentford,2,2,True,Everton,32
Ismeal Kabia,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,311,Arsenal,MID,45,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Albert Sambi Lokonga,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,311,Arsenal,MID,45,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Kai Havertz,30,53,0,0,0,1,0,0,0,0,0,0,0,-5,1.0,1.3,14.0,1.6,1,0.96,0.01,0.97,0.70,1,False,311,Arsenal,FWD,73,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Gabriel Fernando de Jesus,31,14,0,0,0,0,0,0,0,0,0,0,0,5,6.4,11.5,21.0,3.9,0,0.08,0.04,0.12,0.01,1,False,311,Arsenal,FWD,64,Bournemouth,Arsenal,2,1,True,Bournemouth,32
Emiliano Martínez Romero,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,318,Aston Villa,GK,51,Aston Villa,Nottingham,1,1,False,Nottingham,32
Marco Bizot,33,90,0,0,0,1,0,0,0,0,0,4,0,14,25.4,0.0,0.0,2.5,1,0.00,0.00,0.00,1.15,3,False,318,Aston Villa,GK,42,Aston Villa,Nottingham,1,1,False,Nottingham,32
Joe Gauci,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,318,Aston Villa,GK,40,Aston Villa,Nottingham,1,1,False,Nottingham,32
Filip Marschall,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,318,Aston Villa,GK,40,Aston Villa,Nottingham,1,1,False,Nottingham,32
Matty Cash,36,90,0,0,0,1,0,0,0,1,0,0,0,5,11.6,4.3,13.0,2.9,1,0.03,0.02,0.05,1.15,1,False,318,Aston Villa,DEF,47,Aston Villa,Nottingham,1,1,False,Nottingham,32
Lucas Digne,37,77,0,0,0,1,0,0,0,0,0,0,0,16,22.8,30.8,4.0,5.8,1,0.00,0.07,0.07,1.15,2,False,318,Aston Villa,DEF,45,Aston Villa,Nottingham,1,1,False,Nottingham,32
Ezri Konsa Ngoyo,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,318,Aston Villa,DEF,44,Aston Villa,Nottingham,1,1,False,Nottingham,32
Ian Maatsen,39,12,0,0,0,0,0,0,0,0,0,0,0,6,3.4,0.3,19.0,2.3,0,0.15,0.00,0.15,0.00,1,False,318,Aston Villa,DEF,42,Aston Villa,Nottingham,1,1,False,Nottingham,32
Tyrone Mings,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,318,Aston Villa,DEF,43,Aston Villa,Nottingham,1,1,False,Nottingham,32
Pau Torres,41,90,0,0,0,1,0,0,0,0,0,0,0,8,14.4,1.4,0.0,1.6,1,0.00,0.01,0.01,1.15,2,False,318,Aston Villa,DEF,43,Aston Villa,Nottingham,1,1,False,Nottingham,32
Andrés García,42,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,0,0.00,0.00,0.00,0.00,1,False,318,Aston Villa,DEF,39,Aston Villa,Nottingham,1,1,False,Nottingham,32
Álex Moreno Lopera,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,318,Aston Villa,DEF,40,Aston Villa,Nottingham,1,1,False,Nottingham,32
