name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
Axel Tuanzebe,282,90,0,0,0,3,0,0,0,0,0,0,0,2,13.2,18.0,4.0,3.5,1,0.00,0.08,0.08,1.01,0,0,0,0,0,0,0,1,False,373,Ipswich,DEF,39,West Ham,Ipswich,3,1,True,West Ham,38
Christian Walton,283,90,0,0,0,3,0,0,0,0,0,3,0,4,23.8,0.0,0.0,2.4,1,0.00,0.00,0.00,1.01,0,0,0,0,0,0,0,2,False,373,Ipswich,GK,43,West Ham,Ipswich,3,1,True,West Ham,38
Luke Woolfenden,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,373,Ipswich,DEF,39,West Ham,Ipswich,3,1,True,West Ham,38
Boubakary Soumaré,285,90,0,0,0,2,0,0,0,0,0,0,0,8,4.4,8.7,0.0,1.3,1,0.00,0.07,0.07,1.79,0,0,0,0,0,0,0,2,False,371,Leicester,MID,44,Leicester,Bournemouth,0,2,False,Bournemouth,38
Tom Cannon,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,371,Leicester,FWD,45,Leicester,Bournemouth,0,2,False,Bournemouth,38
Hamza Choudhury,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,371,Leicester,MID,44,Leicester,Bournemouth,0,2,False,Bournemouth,38
Conor Coady,288,90,0,0,0,2,0,0,0,1,0,0,0,1,8.4,0.3,0.0,0.9,1,0.00,0.00,0.00,1.79,0,0,0,0,0,0,0,0,False,371,Leicester,DEF,40,Leicester,Bournemouth,0,2,False,Bournemouth,38
Patson Daka,289,71,0,0,1,0,0,0,0,0,0,0,0,6,3.2,1.3,2.0,0.7,1,0.00,0.01,0.01,1.34,0,0,0,0,0,0,0,2,False,371,Leicester,FWD,48,Leicester,Bournemouth,0,2,False,Bournemouth,38
Bobby De Cordova-Reid,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,371,Leicester,MID,52,Leicester,Bournemouth,0,2,False,Bournemouth,38
Wout Faes,291,90,0,0,0,2,0,0,0,0,0,0,0,3,21.4,0.1,0.0,2.2,1,0.00,0.00,0.00,1.79,0,0,0,0,0,0,0,1,False,371,Leicester,DEF,38,Leicester,Bournemouth,0,2,False,Bournemouth,38
Michael Golding,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,371,Leicester,MID,44,Leicester,Bournemouth,0,2,False,Bournemouth,38
Mads Hermansen,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,371,Leicester,GK,44,Leicester,Bournemouth,0,2,False,Bournemouth,38
Daniel Iversen,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,371,Leicester,GK,39,Leicester,Bournemouth,0,2,False,Bournemouth,38
James Justin,295,90,0,0,0,2,0,0,0,0,0,0,0,15,29.4,3.4,0.0,3.3,1,0.00,0.01,0.01,1.79,0,0,0,0,0,0,0,1,False,371,Leicester,DEF,41,Leicester,Bournemouth,0,2,False,Bournemouth,38
Victor Kristiansen,296,88,0,0,0,2,0,0,0,0,0,0,0,-1,12.6,1.4,4.0,1.8,1,0.00,0.01,0.01,1.75,0,0,0,0,0,0,0,1,False,371,Leicester,DEF,44,Leicester,Bournemouth,0,2,False,Bournemouth,38
Wanya Marçal-Madivádua,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,371,Leicester,MID,45,Leicester,Bournemouth,0,2,False,Bournemouth,38
Stephy Mavididi,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,371,Leicester,MID,50,Leicester,Bournemouth,0,2,False,Bournemouth,38
Kasey McAteer,299,85,0,0,0,1,0,0,0,0,0,0,0,6,10.0,3.0,6.0,1.9,1,0.00,0.23,0.23,1.70,0,0,0,0,0,0,0,2,False,371,Leicester,MID,47,Leicester,Bournemouth,0,2,False,Bournemouth,38
Wilfred Ndidi,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,371,Leicester,MID,49,Leicester,Bournemouth,0,2,False,Bournemouth,38
Caleb Okoli,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,371,Leicester,DEF,40,Leicester,Bournemouth,0,2,False,Bournemouth,38
Ricardo Barbosa Pereira,302,18,0,0,0,2,0,0,0,0,0,0,0,-3,2.4,2.0,0.0,0.4,0,0.00,0.01,0.01,0.45,0,0,0,0,0,0,0,0,False,371,Leicester,DEF,41,Leicester,Bournemouth,0,2,False,Bournemouth,38
Harry Souttar,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,371,Leicester,DEF,40,Leicester,Bournemouth,0,2,False,Bournemouth,38
Jakub Stolarczyk,304,90,0,0,0,2,0,0,0,0,0,5,0,10,31.4,0.0,0.0,3.1,1,0.00,0.00,0.00,1.79,0,0,0,0,0,0,0,2,False,371,Leicester,GK,40,Leicester,Bournemouth,0,2,False,Bournemouth,38
Luke Thomas,305,71,0,0,1,0,0,0,0,1,0,0,0,22,14.2,15.2,0.0,2.9,1,0.00,0.04,0.04,1.34,0,0,0,0,0,0,0,5,False,371,Leicester,DEF,39,Leicester,Bournemouth,0,2,False,Bournemouth,38
Jamie Vardy,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,371,Leicester,FWD,54,Leicester,Bournemouth,0,2,False,Bournemouth,38
Jannik Vestergaard,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,371,Leicester,DEF,39,Leicester,Bournemouth,0,2,False,Bournemouth,38
Danny Ward,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,371,Leicester,GK,39,Leicester,Bournemouth,0,2,False,Bournemouth,38
Harry Winks,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,371,Leicester,MID,43,Leicester,Bournemouth,0,2,False,Bournemouth,38
Alisson Ramses Becker,310,90,0,0,0,1,0,0,0,0,0,4,0,20,33.0,0.0,0.0,3.3,1,0.00,0.00,0.00,1.75,0,0,0,0,0,0,0,3,False,374,Liverpool,GK,55,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Trent Alexander-Arnold,311,45,0,0,0,0,0,0,0,0,0,0,0,11,8.6,29.6,1.0,3.9,0,0.01,0.31,0.32,0.57,0,0,0,0,0,0,0,1,False,374,Liverpool,DEF,72,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Stefan Bajčetić Maquieira,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,374,Liverpool,MID,45,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Conor Bradley,313,45,0,0,0,1,0,0,0,0,0,0,0,4,5.4,4.6,4.0,1.4,1,0.00,0.02,0.02,1.19,0,0,0,0,0,0,0,1,False,374,Liverpool,DEF,47,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Fábio Freitas Gouveia Carvalho,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,380,Brentford,MID,45,Brentford,Wolverhampton,1,1,False,Wolverhampton,38
Bobby Clark,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,374,Liverpool,MID,45,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Darwin Núñez Ribeiro,316,29,0,0,0,0,0,0,0,0,0,0,0,6,10.4,14.4,19.0,4.4,0,0.54,0.02,0.56,0.53,0,0,0,0,0,0,0,1,False,374,Liverpool,FWD,70,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Diogo Teixeira da Silva,317,28,0,0,0,0,0,0,0,0,0,0,0,-3,0.0,1.7,11.0,1.2,0,0.33,0.00,0.33,0.53,0,0,0,0,0,0,0,1,False,374,Liverpool,MID,72,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Ben Doak,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,374,Liverpool,MID,45,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Harvey Elliott,319,5,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.4,0.0,0.1,0,0.00,0.00,0.00,0.31,0,0,0,0,0,0,0,1,False,374,Liverpool,MID,52,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Endo Wataru,320,21,0,0,0,0,0,0,0,0,0,0,0,5,9.6,1.8,0.0,1.1,0,0.00,0.01,0.01,0.31,0,0,0,0,0,0,0,1,False,374,Liverpool,MID,46,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Cody Gakpo,321,90,0,1,0,1,0,0,0,0,0,0,2,27,23.4,35.6,27.0,8.6,1,0.06,0.20,0.26,1.75,0,0,0,0,0,0,0,7,False,374,Liverpool,FWD,72,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Joe Gomez,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,374,Liverpool,DEF,47,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Ryan Gravenberch,323,67,0,0,0,1,0,0,0,0,1,0,0,3,3.4,17.8,2.0,2.3,1,0.00,0.23,0.23,1.44,0,0,0,0,0,0,0,-1,False,374,Liverpool,MID,50,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
