name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
Rodrigo 'Rodri' Hernandez,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,372,Manchester City,MID,62,Manchester City,Fulham,2,0,False,Fulham,38
Rúben Gato Alves Dias,361,90,0,0,1,0,0,0,0,0,0,0,1,30,32.6,2.7,0.0,3.5,1,0.00,0.05,0.05,1.74,0,0,0,0,0,0,0,7,False,372,Manchester City,DEF,55,Manchester City,Fulham,2,0,False,Fulham,38
John Stones,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,372,Manchester City,DEF,53,Manchester City,Fulham,2,0,False,Fulham,38
Kyle Walker,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,372,Manchester City,DEF,51,Manchester City,Fulham,2,0,False,Fulham,38
Amad Diallo,364,90,1,1,1,0,0,0,0,1,0,0,3,46,43.8,32.5,49.0,12.5,1,0.41,0.19,0.60,0.40,0,0,0,0,0,0,0,13,True,375,Manchester United,MID,53,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Antony Matheus dos Santos,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,375,Manchester United,MID,57,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Bruno Borges Fernandes,366,90,0,1,1,0,0,0,0,0,0,0,1,28,31.2,55.6,31.0,11.8,1,0.25,0.54,0.79,0.40,0,0,0,0,0,0,0,7,False,375,Manchester United,MID,84,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Altay Bayindir,367,90,0,0,1,0,0,0,0,0,0,1,0,24,13.0,0.0,0.0,1.3,1,0.00,0.00,0.00,0.40,0,0,0,0,0,0,0,6,False,375,Manchester United,GK,43,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Carlos Henrique Casimiro,368,90,0,0,1,0,0,0,0,1,0,0,0,16,18.8,27.8,27.0,7.4,1,0.17,0.09,0.26,0.40,0,0,0,0,0,0,0,2,False,375,Manchester United,MID,46,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Diogo Dalot Teixeira,369,25,0,0,0,0,0,0,0,0,0,0,0,5,0.0,1.8,9.0,0.8,0,0.02,0.00,0.02,0.03,0,0,0,0,0,0,0,1,False,375,Manchester United,DEF,50,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Christian Eriksen,370,24,1,0,0,0,0,0,0,0,0,0,0,25,41.8,35.2,21.0,9.8,0,0.87,0.05,0.92,0.34,0,0,0,0,0,0,0,6,False,375,Manchester United,MID,52,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Jonny Evans,371,24,0,0,0,0,0,0,0,0,0,0,0,9,15.6,1.2,17.0,3.4,0,0.03,0.00,0.03,0.34,0,0,0,0,0,0,0,1,False,375,Manchester United,DEF,44,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Alejandro Garnacho,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,375,Manchester United,MID,59,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Hannibal Mejbri,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,375,Manchester United,MID,45,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Tom Heaton,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,375,Manchester United,GK,39,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Rasmus Højlund,375,80,0,0,1,0,0,0,0,0,0,0,0,10,9.4,26.2,29.0,6.5,1,0.12,0.24,0.36,0.06,0,0,0,0,0,0,0,2,False,375,Manchester United,FWD,69,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Victor Lindelöf,376,90,0,0,1,0,0,0,0,0,0,0,0,27,8.2,7.2,0.0,1.5,1,0.00,0.02,0.02,0.40,0,0,0,0,0,0,0,6,False,375,Manchester United,DEF,43,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Harry Maguire,377,90,0,0,1,0,0,0,0,0,0,0,0,24,18.6,11.6,6.0,3.6,1,0.00,0.01,0.01,0.40,0,0,0,0,0,0,0,6,False,375,Manchester United,DEF,49,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Kobbie Mainoo,378,45,0,0,0,0,0,0,0,0,0,0,0,6,4.8,6.5,4.0,1.5,0,0.00,0.43,0.43,0.37,0,0,0,0,0,0,0,1,False,375,Manchester United,MID,52,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Tyrell Malacia,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,375,Manchester United,DEF,44,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Lisandro Martínez,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,375,Manchester United,DEF,43,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Scott McTominay,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,375,Manchester United,MID,49,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Mason Mount,382,65,0,0,1,0,0,0,0,0,0,0,0,15,14.0,24.3,62.0,10.0,1,0.79,0.08,0.87,0.06,0,0,0,0,0,0,0,3,False,375,Manchester United,MID,63,Aston Villa,Manchester United,0,2,True,Aston Villa,38
André Onana,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,375,Manchester United,GK,49,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Facundo Pellistri Rebollo,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,375,Manchester United,MID,50,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Marcus Rashford,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,375,Aston Villa,MID,66,Aston Villa,Manchester United,0,2,False,Manchester United,38
Jadon Sancho,386,61,0,0,1,0,0,0,0,0,0,0,0,7,9.8,14.3,0.0,2.4,1,0.00,0.01,0.01,0.64,0,0,0,0,0,0,0,3,False,377,Chelsea,MID,62,Chelsea,Nottingham,1,0,False,Nottingham,38
Luke Shaw,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,375,Manchester United,DEF,49,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Aaron Wan-Bissaka,388,90,0,1,0,1,0,0,0,0,0,0,0,23,34.0,20.5,0.0,5.5,1,0.00,0.04,0.04,0.79,0,0,0,0,0,0,0,5,False,373,West Ham,DEF,45,West Ham,Ipswich,3,1,False,Ipswich,38
Joshua Zirkzee,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,375,Manchester United,FWD,65,Aston Villa,Manchester United,0,2,True,Aston Villa,38
Alex Murphy,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,376,Newcastle,DEF,40,Everton,Newcastle,1,0,True,Everton,38
Miguel Almirón Rejala,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,376,Newcastle,MID,54,Everton,Newcastle,1,0,True,Everton,38
Harvey Barnes,392,87,0,0,0,1,0,0,0,0,0,0,0,6,2.0,16.3,19.0,3.7,1,0.08,0.02,0.10,0.66,0,0,0,0,0,0,0,2,False,376,Newcastle,MID,59,Everton,Newcastle,1,0,True,Everton,38
Sven Botman,393,62,0,0,1,0,0,0,0,0,0,0,0,31,22.4,0.7,74.0,9.7,1,0.41,0.00,0.41,0.42,0,0,0,0,0,0,0,6,False,376,Newcastle,DEF,44,Everton,Newcastle,1,0,True,Everton,38
Bruno Guimarães Rodriguez Moura,394,90,0,0,0,1,0,0,0,0,0,0,0,13,7.8,28.9,11.0,4.8,1,0.06,0.07,0.13,0.99,0,0,0,0,0,0,0,2,False,376,Newcastle,MID,62,Everton,Newcastle,1,0,True,Everton,38
Dan Burn,395,90,0,0,0,1,0,0,0,0,0,0,0,12,30.8,2.4,0.0,3.3,1,0.00,0.01,0.01,0.99,0,0,0,0,0,0,0,2,False,376,Newcastle,DEF,46,Everton,Newcastle,1,0,True,Everton,38
Martin Dúbravka,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,376,Newcastle,GK,40,Everton,Newcastle,1,0,True,Everton,38
Ryan Fraser,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Southampton,MID,48,Arsenal,Southampton,2,1,True,Arsenal,38
Anthony Gordon,398,45,0,0,0,0,0,0,0,0,0,0,0,5,0.2,1.9,1.0,0.3,1,0.02,0.02,0.04,0.24,0,0,0,0,0,0,0,1,False,376,Newcastle,MID,74,Everton,Newcastle,1,0,True,Everton,38
Lewis Hall,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,376,Newcastle,DEF,47,Everton,Newcastle,1,0,True,Everton,38
Isaac Hayden,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,376,Newcastle,MID,44,Everton,Newcastle,1,0,True,Everton,38
Alexander Isak,401,90,0,0,0,1,0,0,0,0,0,0,0,3,4.4,9.1,30.0,4.4,1,0.17,0.03,0.20,0.99,0,0,0,0,0,0,0,2,False,376,Newcastle,FWD,94,Everton,Newcastle,1,0,True,Everton,38
Jacob Murphy,402,69,0,0,0,1,0,0,0,0,0,0,0,9,2.8,4.2,4.0,1.1,1,0.00,0.02,0.02,0.56,0,0,0,0,0,0,0,2,False,376,Newcastle,MID,52,Everton,Newcastle,1,0,True,Everton,38
Joelinton Cássio Apolinário de Lira,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,376,Newcastle,MID,60,Everton,Newcastle,1,0,True,Everton,38
Lloyd Kelly,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,376,Newcastle,DEF,42,Everton,Newcastle,1,0,True,Everton,38
Emil Krafth,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,376,Newcastle,DEF,43,Everton,Newcastle,1,0,True,Everton,38
Garang Kuol,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,376,Newcastle,MID,44,Everton,Newcastle,1,0,True,Everton,38
Jamaal Lascelles,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,376,Newcastle,DEF,45,Everton,Newcastle,1,0,True,Everton,38
Jamal Lewis,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,376,Newcastle,DEF,40,Everton,Newcastle,1,0,True,Everton,38
Tino Livramento,409,90,0,0,0,1,0,0,0,0,0,0,0,14,17.8,22.6,4.0,4.4,1,0.00,0.25,0.25,0.99,0,0,0,0,0,0,0,2,False,376,Newcastle,DEF,46,Everton,Newcastle,1,0,True,Everton,38
Sean Longstaff,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,376,Newcastle,MID,44,Everton,Newcastle,1,0,True,Everton,38
Lewis Miley,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,376,Newcastle,MID,50,Everton,Newcastle,1,0,True,Everton,38
Odysseas Vlachodimos,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,376,Newcastle,GK,42,Everton,Newcastle,1,0,True,Everton,38
Nick Pope,413,90,0,0,0,1,0,0,0,0,0,5,0,16,32.0,0.0,0.0,3.2,1,0.00,0.00,0.00,0.99,0,0,0,0,0,0,0,3,False,376,Newcastle,GK,50,Everton,Newcastle,1,0,True,Everton,38
John Ruddy,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,376,Newcastle,GK,39,Everton,Newcastle,1,0,True,Everton,38
Fabian Schär,415,90,0,0,0,1,0,0,0,1,0,0,0,2,3.6,3.5,18.0,2.5,1,0.41,0.04,0.45,0.99,0,0,0,0,0,0,0,1,False,376,Newcastle,DEF,55,Everton,Newcastle,1,0,True,Everton,38
Matt Targett,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,376,Newcastle,DEF,39,Everton,Newcastle,1,0,True,Everton,38
Sandro Tonali,417,90,0,0,0,1,0,0,0,0,0,0,0,22,24.2,69.2,11.0,10.4,1,0.04,0.35,0.39,0.99,0,0,0,0,0,0,0,2,False,376,Newcastle,MID,55,Everton,Newcastle,1,0,True,Everton,38
Kieran Trippier,418,27,0,0,0,1,0,0,0,0,0,0,0,10,9.2,41.6,3.0,5.4,0,0.04,0.05,0.09,0.58,0,0,0,0,0,0,0,1,False,376,Newcastle,DEF,56,Everton,Newcastle,1,0,True,Everton,38
Joe White,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,376,Newcastle,MID,45,Everton,Newcastle,1,0,True,Everton,38
Joe Willock,420,45,0,0,0,1,0,0,0,0,0,0,0,3,1.6,1.0,0.0,0.3,0,0.00,0.00,0.00,0.76,0,0,0,0,0,0,0,1,False,376,Newcastle,MID,47,Everton,Newcastle,1,0,True,Everton,38
Callum Wilson,421,20,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.4,0.0,0.1,0,0.00,0.01,0.01,0.43,0,0,0,0,0,0,0,1,False,376,Newcastle,FWD,69,Everton,Newcastle,1,0,True,Everton,38
Ola Aina,422,82,0,0,0,1,0,0,0,1,0,0,0,7,9.6,20.4,3.0,3.3,1,0.04,0.34,0.38,1.00,0,0,0,0,0,0,0,1,False,377,Nottingham,DEF,53,Chelsea,Nottingham,1,0,True,Chelsea,38
Elliot Anderson,423,90,0,0,0,1,0,0,0,1,0,0,0,12,11.6,19.7,18.0,4.9,1,0.19,0.03,0.22,1.07,0,0,0,0,0,0,0,1,False,377,Nottingham,MID,50,Chelsea,Nottingham,1,0,True,Chelsea,38
Taiwo Awoniyi,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,377,Nottingham,FWD,55,Chelsea,Nottingham,1,0,True,Chelsea,38
Willy Boly,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,377,Nottingham,DEF,42,Chelsea,Nottingham,1,0,True,Chelsea,38
Josh Bowler,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,377,Nottingham,MID,45,Chelsea,Nottingham,1,0,True,Chelsea,38
Carlos Miguel dos Santos Pereira,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,377,Nottingham,GK,41,Chelsea,Nottingham,1,0,True,Chelsea,38
Eric da Silva Moreira,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,377,Nottingham,MID,43,Chelsea,Nottingham,1,0,True,Chelsea,38
Danilo dos Santos de Oliveira,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,377,Nottingham,MID,47,Chelsea,Nottingham,1,0,True,Chelsea,38
Emmanuel Dennis,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,377,Nottingham,FWD,49,Chelsea,Nottingham,1,0,True,Chelsea,38
Nicolás Domínguez,431,67,0,0,0,1,0,0,0,0,0,0,0,8,10.0,7.4,2.0,1.9,1,0.00,0.03,0.03,1.00,0,0,0,0,0,0,0,2,False,377,Nottingham,MID,48,Chelsea,Nottingham,1,0,True,Chelsea,38
Anthony Elanga,432,90,0,0,0,1,0,0,0,0,0,0,0,12,8.4,22.1,30.0,6.1,1,0.08,0.16,0.24,1.07,0,0,0,0,0,0,0,2,False,377,Nottingham,MID,55,Chelsea,Nottingham,1,0,True,Chelsea,38
Morgan Gibbs-White,433,90,0,0,0,1,0,0,0,0,0,0,0,10,5.4,6.6,4.0,1.6,1,0.00,0.01,0.01,1.07,0,0,0,0,0,0,0,2,False,377,Nottingham,MID,65,Chelsea,Nottingham,1,0,True,Chelsea,38
Callum Hudson-Odoi,434,33,0,0,0,0,0,0,0,0,0,0,0,4,2.8,6.3,4.0,1.3,0,0.00,0.01,0.01,0.09,0,0,0,0,0,0,0,1,False,377,Nottingham,MID,51,Chelsea,Nottingham,1,0,True,Chelsea,38
Alex Mighten,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,377,Nottingham,MID,45,Chelsea,Nottingham,1,0,True,Chelsea,38
Murillo Santiago Costa dos Santos,436,90,0,0,0,1,0,0,0,0,0,0,0,7,13.6,11.5,7.0,3.2,1,0.03,0.02,0.05,1.07,0,0,0,0,0,0,0,2,False,377,Nottingham,DEF,47,Chelsea,Nottingham,1,0,True,Chelsea,38
Neco Williams,437,90,0,0,0,1,0,0,0,0,0,0,0,5,8.6,5.3,2.0,1.6,1,0.00,0.02,0.02,1.07,0,0,0,0,0,0,0,2,False,377,Nottingham,DEF,45,Chelsea,Nottingham,1,0,True,Chelsea,38
Omar Richards,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,377,Nottingham,DEF,45,Chelsea,Nottingham,1,0,True,Chelsea,38
Lewis O'Brien,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,377,Nottingham,MID,50,Chelsea,Nottingham,1,0,True,Chelsea,38
Andrew Omobamidele,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,377,Nottingham,DEF,42,Chelsea,Nottingham,1,0,True,Chelsea,38
Jonathan Panzo,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,377,Nottingham,DEF,40,Chelsea,Nottingham,1,0,True,Chelsea,38
Ibrahim Sangaré,442,56,0,0,0,1,0,0,0,0,0,0,0,7,8.8,1.0,0.0,1.0,1,0.00,0.01,0.01,0.99,0,0,0,0,0,0,0,1,False,377,Nottingham,MID,43,Chelsea,Nottingham,1,0,True,Chelsea,38
Matz Sels,443,90,0,0,0,1,0,0,0,0,0,1,0,13,14.4,10.1,0.0,2.5,1,0.00,0.18,0.18,1.07,0,0,0,0,0,0,0,2,False,377,Nottingham,GK,52,Chelsea,Nottingham,1,0,True,Chelsea,38
Harry Toffolo,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,377,Nottingham,DEF,42,Chelsea,Nottingham,1,0,True,Chelsea,38
Matt Turner,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,374,Crystal Palace,GK,39,Crystal Palace,Liverpool,1,1,False,Liverpool,38
Hwang Ui-jo,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,377,Nottingham,FWD,45,Chelsea,Nottingham,1,0,True,Chelsea,38
Chris Wood,447,90,0,0,0,1,0,0,0,0,0,0,0,-3,0.0,3.9,24.0,2.4,1,0.95,0.01,0.96,1.07,0,0,0,0,0,0,0,2,False,377,Nottingham,FWD,72,Chelsea,Nottingham,1,0,True,Chelsea,38
Joe Worrall,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,377,Nottingham,DEF,45,Chelsea,Nottingham,1,0,True,Chelsea,38
Ryan Yates,449,22,0,0,0,0,0,0,0,0,0,0,0,2,5.8,0.8,2.0,0.9,0,0.00,0.00,0.00,0.07,0,0,0,0,0,0,0,1,False,377,Nottingham,MID,48,Chelsea,Nottingham,1,0,True,Chelsea,38
Carlos Alcaraz Durán,450,75,1,0,1,0,0,0,0,0,0,0,2,34,43.6,2.8,49.0,9.5,1,0.25,0.01,0.26,0.88,0,0,0,0,0,0,0,10,False,376,Everton,MID,47,Everton,Newcastle,1,0,False,Newcastle,38
Samuel Amo-Ameyaw,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Southampton,MID,44,Arsenal,Southampton,2,1,True,Arsenal,38
Joe Aribo,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Southampton,MID,49,Arsenal,Southampton,2,1,True,Arsenal,38
Adam Armstrong,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Southampton,FWD,51,Arsenal,Southampton,2,1,True,Arsenal,38
Gavin Bazunu,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Southampton,GK,43,Arsenal,Southampton,2,1,True,Arsenal,38
Jan Bednarek,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Southampton,DEF,40,Arsenal,Southampton,2,1,True,Arsenal,38
Armel Bella-Kotchap,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Southampton,DEF,39,Arsenal,Southampton,2,1,True,Arsenal,38
James Bree,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Southampton,DEF,39,Arsenal,Southampton,2,1,True,Arsenal,38
Shea Charles,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Southampton,MID,45,Arsenal,Southampton,2,1,True,Arsenal,38
Samuel Edozie,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Southampton,MID,49,Arsenal,Southampton,2,1,True,Arsenal,38
Ronnie Edwards,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Southampton,DEF,39,Arsenal,Southampton,2,1,True,Arsenal,38
Taylor Harwood-Bellis,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Southampton,DEF,39,Arsenal,Southampton,2,1,True,Arsenal,38
Kamaldeen Sulemana,462,78,0,0,0,1,0,0,0,0,0,0,0,9,12.4,2.3,17.0,3.2,1,0.08,0.01,0.09,1.88,0,0,0,0,0,0,0,2,False,378,Southampton,MID,50,Arsenal,Southampton,2,1,True,Arsenal,38
Adam Lallana,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Southampton,MID,50,Arsenal,Southampton,2,1,True,Arsenal,38
Juan Larios López,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Southampton,DEF,39,Arsenal,Southampton,2,1,True,Arsenal,38
Mateusz Lis,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Southampton,GK,40,Arsenal,Southampton,2,1,True,Arsenal,38
Joe Lumley,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Southampton,GK,40,Arsenal,Southampton,2,1,True,Arsenal,38
