name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,90,0,0,0,1,0,0,0,0,0,2,0,13,21.4,0.0,0.0,2.1,1,0.00,0.01,0.01,0.89,2,False,41,Arsenal,GK,55,Manchester City,Arsenal,1,1,True,Manchester City,5
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,41,Arsenal,GK,44,Manchester City,Arsenal,1,1,True,Manchester City,5
Karl Hein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,41,Arsenal,GK,40,Manchester City,Arsenal,1,1,True,Manchester City,5
Tommy Setford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,41,Arsenal,GK,40,Manchester City,Arsenal,1,1,True,Manchester City,5
Gabriel dos Santos Magalhães,5,90,0,0,0,1,0,0,0,0,0,0,0,13,19.6,2.3,0.0,2.2,1,0.00,0.01,0.01,0.89,2,False,41,Arsenal,DEF,61,Manchester City,Arsenal,1,1,True,Manchester City,5
William Saliba,6,90,0,0,0,1,0,0,0,0,0,0,0,15,22.0,3.0,4.0,2.9,1,0.13,0.02,0.15,0.89,2,False,41,Arsenal,DEF,60,Manchester City,Arsenal,1,1,True,Manchester City,5
Riccardo Calafiori,7,90,0,0,0,1,0,0,0,0,0,0,0,7,3.6,6.2,19.0,2.9,1,0.14,0.05,0.19,0.89,2,False,41,Arsenal,DEF,57,Manchester City,Arsenal,1,1,True,Manchester City,5
Jurriën Timber,8,79,0,0,0,1,0,0,0,1,0,0,0,16,17.0,13.9,8.0,3.9,1,0.00,0.05,0.05,0.65,1,False,41,Arsenal,DEF,58,Manchester City,Arsenal,1,1,True,Manchester City,5
Jakub Kiwior,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,41,Arsenal,DEF,54,Manchester City,Arsenal,1,1,True,Manchester City,5
Myles Lewis-Skelly,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,41,Arsenal,DEF,53,Manchester City,Arsenal,1,1,True,Manchester City,5
