name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,90,0,0,0,1,0,0,0,0,0,3,0,12,20.0,0.0,0.0,2.0,1,0.00,0.00,0.00,0.79,3,False,123,Arsenal,GK,59,Arsenal,Chelsea,1,1,False,Chelsea,13
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,123,Arsenal,GK,42,Arsenal,Chelsea,1,1,False,Chelsea,13
Karl Hein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,123,Arsenal,GK,40,Arsenal,Chelsea,1,1,False,Chelsea,13
Tommy Setford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,123,Arsenal,GK,39,Arsenal,Chelsea,1,1,False,Chelsea,13
Gabriel dos Santos Magalhães,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,123,Arsenal,DEF,64,Arsenal,Chelsea,1,1,False,Chelsea,13
William Saliba,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,123,Arsenal,DEF,60,Arsenal,Chelsea,1,1,False,Chelsea,13
Riccardo Calafiori,7,45,0,0,0,0,0,0,0,1,0,0,0,5,15.0,1.2,0.0,1.6,1,0.00,0.01,0.01,0.31,0,False,123,Arsenal,DEF,58,Arsenal,Chelsea,1,1,False,Chelsea,13
Jurriën Timber,8,90,0,0,0,1,0,0,0,0,0,0,0,8,10.2,3.1,6.0,1.9,1,0.30,0.03,0.33,0.79,2,False,123,Arsenal,DEF,64,Arsenal,Chelsea,1,1,False,Chelsea,13
Jakub Kiwior,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,123,Arsenal,DEF,54,Arsenal,Chelsea,1,1,False,Chelsea,13
Myles Lewis-Skelly,10,45,0,0,0,1,0,0,0,1,0,0,0,-1,0.4,2.2,0.0,0.3,0,0.00,0.02,0.02,0.48,0,False,123,Arsenal,DEF,51,Arsenal,Chelsea,1,1,False,Chelsea,13
Benjamin White,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,123,Arsenal,DEF,53,Arsenal,Chelsea,1,1,False,Chelsea,13
Oleksandr Zinchenko,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,127,Nottingham,DEF,49,Brighton,Nottingham,2,0,True,Brighton,13
Brayden Clarke,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,123,Arsenal,DEF,38,Arsenal,Chelsea,1,1,False,Chelsea,13
Maldini Kacurri,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,123,Arsenal,DEF,39,Arsenal,Chelsea,1,1,False,Chelsea,13
Josh Nichols,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,123,Arsenal,DEF,38,Arsenal,Chelsea,1,1,False,Chelsea,13
Bukayo Saka,16,90,0,1,0,1,0,0,0,0,0,0,0,21,22.0,16.6,27.0,6.6,1,0.19,0.58,0.77,0.79,5,False,123,Arsenal,MID,101,Arsenal,Chelsea,1,1,False,Chelsea,13
