name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,90,0,0,0,2,0,0,0,0,0,1,0,3,7.2,0.0,0.0,0.7,1,0.00,0.00,0.00,1.43,1,False,192,Arsenal,GK,60,Arsenal,Bournemouth,3,2,False,Bournemouth,20
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,192,Arsenal,GK,41,Arsenal,Bournemouth,3,2,False,Bournemouth,20
Karl Hein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,192,Arsenal,GK,40,Arsenal,Bournemouth,3,2,False,Bournemouth,20
Tommy Setford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,192,Arsenal,GK,39,Arsenal,Bournemouth,3,2,False,Bournemouth,20
Gabriel dos Santos Magalhães,5,90,1,0,0,2,0,0,0,0,0,0,0,16,55.4,1.5,19.0,7.6,1,0.17,0.01,0.18,1.43,9,False,192,Arsenal,DEF,66,Arsenal,Bournemouth,3,2,False,Bournemouth,20
William Saliba,6,90,0,0,0,2,0,0,0,0,0,0,0,9,16.8,0.8,0.0,1.8,1,0.00,0.00,0.00,1.43,1,False,192,Arsenal,DEF,59,Arsenal,Bournemouth,3,2,False,Bournemouth,20
Riccardo Calafiori,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,192,Arsenal,DEF,56,Arsenal,Bournemouth,3,2,False,Bournemouth,20
Jurriën Timber,8,90,0,0,0,2,0,0,0,0,0,0,0,8,31.6,22.3,4.0,5.8,1,0.00,0.01,0.01,1.43,3,False,192,Arsenal,DEF,63,Arsenal,Bournemouth,3,2,False,Bournemouth,20
Jakub Kiwior,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,192,Arsenal,DEF,54,Arsenal,Bournemouth,3,2,False,Bournemouth,20
Myles Lewis-Skelly,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,192,Arsenal,DEF,51,Arsenal,Bournemouth,3,2,False,Bournemouth,20
