name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,90,0,0,1,0,0,0,0,0,0,3,3,31,23.2,0.0,0.0,2.3,1,0.00,0.00,0.00,1.00,10,True,331,Arsenal,GK,60,Newcastle,Arsenal,0,1,True,Newcastle,34
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,331,Arsenal,GK,40,Newcastle,Arsenal,0,1,True,Newcastle,34
Karl Hein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,331,Arsenal,GK,40,Newcastle,Arsenal,0,1,True,Newcastle,34
Tommy Setford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,331,Arsenal,GK,39,Newcastle,Arsenal,0,1,True,Newcastle,34
Gabriel dos Santos Magalhães,5,90,0,0,1,0,0,0,0,0,0,0,2,29,27.2,14.5,2.0,4.4,1,0.00,0.01,0.01,1.00,8,False,331,Arsenal,DEF,72,Newcastle,Arsenal,0,1,True,Newcastle,34
William Saliba,6,90,0,0,1,0,0,0,0,0,0,0,1,28,14.6,1.9,0.0,1.7,1,0.00,0.01,0.01,1.00,7,False,331,Arsenal,DEF,61,Newcastle,Arsenal,0,1,True,Newcastle,34
Riccardo Calafiori,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,331,Arsenal,DEF,56,Newcastle,Arsenal,0,1,True,Newcastle,34
Jurriën Timber,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,331,Arsenal,DEF,61,Newcastle,Arsenal,0,1,True,Newcastle,34
Jakub Kiwior,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,331,Arsenal,DEF,54,Newcastle,Arsenal,0,1,True,Newcastle,34
Myles Lewis-Skelly,10,9,0,0,0,0,0,0,0,0,0,0,0,3,5.4,0.6,0.0,0.6,0,0.00,0.01,0.01,0.06,1,False,331,Arsenal,DEF,50,Newcastle,Arsenal,0,1,True,Newcastle,34
Benjamin White,11,90,0,0,1,0,0,0,0,0,0,0,0,23,9.4,7.4,0.0,1.7,1,0.00,0.03,0.03,1.00,6,False,331,Arsenal,DEF,51,Newcastle,Arsenal,0,1,True,Newcastle,34
Oleksandr Zinchenko,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,338,Nottingham,DEF,49,Nottingham,Sunderland,5,0,False,Sunderland,34
Brayden Clarke,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,331,Arsenal,DEF,37,Newcastle,Arsenal,0,1,True,Newcastle,34
Maldini Kacurri,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,331,Arsenal,DEF,39,Newcastle,Arsenal,0,1,True,Newcastle,34
Josh Nichols,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,331,Arsenal,DEF,37,Newcastle,Arsenal,0,1,True,Newcastle,34
Bukayo Saka,16,9,0,0,0,0,0,0,0,0,0,0,0,2,2.2,10.4,9.0,2.2,0,0.04,0.01,0.05,0.06,1,False,331,Arsenal,MID,98,Newcastle,Arsenal,0,1,True,Newcastle,34
Martin Ødegaard,17,90,0,0,1,0,0,0,0,0,0,0,0,19,19.2,43.6,13.0,7.6,1,0.03,0.20,0.23,1.00,3,False,331,Arsenal,MID,78,Newcastle,Arsenal,0,1,True,Newcastle,34
Noni Madueke,18,80,0,0,1,0,0,0,0,0,0,0,0,5,4.8,14.3,21.0,4.0,1,0.03,0.17,0.20,0.94,3,False,331,Arsenal,MID,68,Newcastle,Arsenal,0,1,True,Newcastle,34
Gabriel Martinelli Silva,19,37,0,0,0,0,0,0,0,1,0,0,0,1,5.0,12.3,22.0,3.9,0,0.12,0.01,0.13,0.64,0,False,331,Arsenal,MID,68,Newcastle,Arsenal,0,1,True,Newcastle,34
Leandro Trossard,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,331,Arsenal,MID,65,Newcastle,Arsenal,0,1,True,Newcastle,34
Declan Rice,21,90,0,0,1,0,0,0,0,1,0,0,0,5,4.2,4.8,4.0,1.3,1,0.00,0.02,0.02,1.00,2,False,331,Arsenal,MID,72,Newcastle,Arsenal,0,1,True,Newcastle,34
Mikel Merino Zazón,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,331,Arsenal,MID,54,Newcastle,Arsenal,0,1,True,Newcastle,34
Fábio Ferreira Vieira,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,331,Arsenal,MID,54,Newcastle,Arsenal,0,1,True,Newcastle,34
Christian Nørgaard,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,331,Arsenal,MID,51,Newcastle,Arsenal,0,1,True,Newcastle,34
Ethan Nwaneri,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,331,Arsenal,MID,50,Newcastle,Arsenal,0,1,True,Newcastle,34
Martín Zubimendi Ibáñez,26,80,0,0,1,0,0,0,0,0,0,0,0,19,16.6,13.4,9.0,3.9,1,0.07,0.02,0.09,0.94,5,False,331,Arsenal,MID,50,Newcastle,Arsenal,0,1,True,Newcastle,34
Reiss Nelson,27,17,0,1,0,0,0,0,0,0,0,0,0,13,20.4,14.3,4.0,3.9,0,0.00,0.02,0.02,0.02,4,False,337,Brentford,MID,48,Brentford,Manchester United,1,2,False,Manchester United,34
Ismeal Kabia,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,331,Arsenal,MID,45,Newcastle,Arsenal,0,1,True,Newcastle,34
Albert Sambi Lokonga,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,331,Arsenal,MID,45,Newcastle,Arsenal,0,1,True,Newcastle,34
Kai Havertz,30,33,0,1,0,0,0,0,0,0,0,0,0,13,18.2,11.0,4.0,3.3,1,0.00,0.03,0.03,0.33,4,False,331,Arsenal,FWD,73,Newcastle,Arsenal,0,1,True,Newcastle,34
Gabriel Fernando de Jesus,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,331,Arsenal,FWD,64,Newcastle,Arsenal,0,1,True,Newcastle,34
Emiliano Martínez Romero,32,90,0,0,0,1,0,0,0,0,0,5,0,24,38.4,0.0,0.0,3.8,1,0.00,0.00,0.00,1.18,3,False,335,Aston Villa,GK,51,Aston Villa,Fulham,0,1,False,Fulham,34
Marco Bizot,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,335,Aston Villa,GK,42,Aston Villa,Fulham,0,1,False,Fulham,34
Joe Gauci,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,335,Aston Villa,GK,40,Aston Villa,Fulham,0,1,False,Fulham,34
Filip Marschall,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,335,Aston Villa,GK,40,Aston Villa,Fulham,0,1,False,Fulham,34
Matty Cash,36,90,0,0,0,1,0,0,0,0,0,0,0,13,19.0,23.2,2.0,4.4,1,0.00,0.03,0.03,1.18,2,False,335,Aston Villa,DEF,47,Aston Villa,Fulham,0,1,False,Fulham,34
Lucas Digne,37,90,0,0,0,1,0,0,0,0,0,0,0,2,1.0,1.8,1.0,0.4,1,0.02,0.01,0.03,1.18,2,False,335,Aston Villa,DEF,45,Aston Villa,Fulham,0,1,False,Fulham,34
Ezri Konsa Ngoyo,38,90,0,0,0,1,0,0,0,0,0,0,0,11,19.2,1.3,0.0,2.1,1,0.00,0.01,0.01,1.18,2,False,335,Aston Villa,DEF,44,Aston Villa,Fulham,0,1,False,Fulham,34
Ian Maatsen,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,335,Aston Villa,DEF,42,Aston Villa,Fulham,0,1,False,Fulham,34
Tyrone Mings,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,335,Aston Villa,DEF,43,Aston Villa,Fulham,0,1,False,Fulham,34
Pau Torres,41,90,0,0,0,1,0,0,0,1,0,0,0,6,20.2,4.4,0.0,2.5,1,0.00,0.02,0.02,1.18,1,False,335,Aston Villa,DEF,43,Aston Villa,Fulham,0,1,False,Fulham,34
Andrés García,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,335,Aston Villa,DEF,39,Aston Villa,Fulham,0,1,False,Fulham,34
Álex Moreno Lopera,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,335,Aston Villa,DEF,40,Aston Villa,Fulham,0,1,False,Fulham,34
Lamare Bogarde,44,73,0,0,0,1,0,0,0,0,0,0,0,0,6.6,1.8,0.0,0.8,1,0.00,0.01,0.01,1.01,2,False,335,Aston Villa,DEF,40,Aston Villa,Fulham,0,1,False,Fulham,34
Lino da Cruz Sousa,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,335,Aston Villa,DEF,38,Aston Villa,Fulham,0,1,False,Fulham,34
Yasin Özcan,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,335,Aston Villa,DEF,40,Aston Villa,Fulham,0,1,False,Fulham,34
Morgan Rogers,47,90,0,0,0,1,0,0,0,0,0,0,0,-2,0.0,6.6,18.0,2.2,1,0.15,0.02,0.17,1.18,2,False,335,Aston Villa,MID,75,Aston Villa,Fulham,0,1,False,Fulham,34
Youri Tielemans,48,73,0,0,0,1,0,0,0,0,0,0,0,18,8.8,5.8,6.0,2.1,1,0.04,0.02,0.06,1.01,2,False,335,Aston Villa,MID,59,Aston Villa,Fulham,0,1,False,Fulham,34
Leon Bailey,49,16,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.3,0.0,0.1,0,0.00,0.00,0.00,0.17,1,False,335,Aston Villa,MID,55,Aston Villa,Fulham,0,1,False,Fulham,34
Emiliano Buendía Stati,50,73,0,0,0,1,0,0,0,0,0,0,0,10,6.2,6.8,3.0,1.6,1,0.04,0.02,0.06,1.01,2,False,335,Aston Villa,MID,53,Aston Villa,Fulham,0,1,False,Fulham,34
Samuel Iling-Junior,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,335,Aston Villa,MID,55,Aston Villa,Fulham,0,1,False,Fulham,34
Jacob Ramsey,52,90,0,0,0,1,0,0,0,0,0,0,0,12,13.6,22.8,10.0,4.6,1,0.03,0.01,0.04,0.49,2,False,331,Newcastle,MID,53,Newcastle,Arsenal,0,1,False,Arsenal,34
Donyell Malen,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,335,Aston Villa,MID,51,Aston Villa,Fulham,0,1,False,Fulham,34
John McGinn,54,73,0,0,0,1,0,0,0,0,0,0,0,19,15.4,58.4,2.0,7.6,1,0.00,0.14,0.14,1.01,2,False,335,Aston Villa,MID,53,Aston Villa,Fulham,0,1,False,Fulham,34
Ross Barkley,55,16,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.4,0.0,0.1,0,0.00,0.00,0.00,0.17,1,False,335,Aston Villa,MID,48,Aston Villa,Fulham,0,1,False,Fulham,34
Enzo Barrenechea,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,335,Aston Villa,MID,50,Aston Villa,Fulham,0,1,False,Fulham,34
Lewis Dobbin,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,335,Aston Villa,MID,50,Aston Villa,Fulham,0,1,False,Fulham,34
Boubacar Kamara,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,335,Aston Villa,MID,49,Aston Villa,Fulham,0,1,False,Fulham,34
Amadou Onana,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,335,Aston Villa,MID,48,Aston Villa,Fulham,0,1,False,Fulham,34
Ben Broggio,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,335,Aston Villa,MID,44,Aston Villa,Fulham,0,1,False,Fulham,34
Leander Dendoncker,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,335,Aston Villa,MID,45,Aston Villa,Fulham,0,1,False,Fulham,34
Jamaldeen Jimoh-Aloba,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,335,Aston Villa,MID,45,Aston Villa,Fulham,0,1,False,Fulham,34
