name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,90,0,0,1,0,0,0,0,0,0,1,0,24,9.6,0.0,0.0,1.0,1,0.00,0.00,0.00,0.15,6,False,234,Arsenal,GK,59,Arsenal,Leeds United,4,0,False,Leeds United,24
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,234,Arsenal,GK,41,Arsenal,Leeds United,4,0,False,Leeds United,24
Karl Hein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,234,Arsenal,GK,40,Arsenal,Leeds United,4,0,False,Leeds United,24
Tommy Setford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,234,Arsenal,GK,39,Arsenal,Leeds United,4,0,False,Leeds United,24
Gabriel dos Santos Magalhães,5,90,0,0,1,0,0,0,0,0,0,0,0,30,33.6,0.8,19.0,5.3,1,0.02,0.05,0.07,0.15,8,False,234,Arsenal,DEF,70,Arsenal,Leeds United,4,0,False,Leeds United,24
William Saliba,6,90,0,0,1,0,0,0,0,0,0,0,0,21,10.2,3.1,0.0,1.3,1,0.00,0.02,0.02,0.15,6,False,234,Arsenal,DEF,60,Arsenal,Leeds United,4,0,False,Leeds United,24
Riccardo Calafiori,7,15,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.6,7.0,0.8,0,0.25,0.01,0.26,0.03,1,False,234,Arsenal,DEF,56,Arsenal,Leeds United,4,0,False,Leeds United,24
Jurriën Timber,8,90,0,0,1,0,0,0,0,1,0,0,0,20,8.6,16.5,9.0,3.4,1,0.14,0.21,0.35,0.15,5,False,234,Arsenal,DEF,63,Arsenal,Leeds United,4,0,False,Leeds United,24
Jakub Kiwior,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,234,Arsenal,DEF,54,Arsenal,Leeds United,4,0,False,Leeds United,24
Myles Lewis-Skelly,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,234,Arsenal,DEF,51,Arsenal,Leeds United,4,0,False,Leeds United,24
Benjamin White,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,234,Arsenal,DEF,51,Arsenal,Leeds United,4,0,False,Leeds United,24
Oleksandr Zinchenko,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,237,Nottingham,DEF,49,Crystal Palace,Nottingham,1,1,True,Crystal Palace,24
