name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,90,0,0,1,0,0,0,0,0,0,0,0,21,4.6,0.0,0.0,0.5,1,0.00,0.00,0.00,0.44,6,False,74,Arsenal,GK,57,Arsenal,Fulham,1,0,False,Fulham,8
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,74,Arsenal,GK,43,Arsenal,Fulham,1,0,False,Fulham,8
Karl Hein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,74,Arsenal,GK,40,Arsenal,Fulham,1,0,False,Fulham,8
Tommy Setford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,74,Arsenal,GK,40,Arsenal,Fulham,1,0,False,Fulham,8
Gabriel dos Santos Magalhães,5,90,0,1,1,0,0,0,0,0,0,0,3,33,33.4,11.6,15.0,6.0,1,0.24,0.02,0.26,0.44,12,True,74,Arsenal,DEF,64,Arsenal,Fulham,1,0,False,Fulham,8
William Saliba,6,90,0,0,1,0,0,0,0,0,0,0,0,26,17.4,2.8,2.0,2.2,1,0.00,0.05,0.05,0.44,6,False,74,Arsenal,DEF,60,Arsenal,Fulham,1,0,False,Fulham,8
Riccardo Calafiori,7,90,0,0,1,0,0,0,0,0,0,0,0,26,12.6,8.0,9.0,3.0,1,0.04,0.02,0.06,0.44,6,False,74,Arsenal,DEF,58,Arsenal,Fulham,1,0,False,Fulham,8
Jurriën Timber,8,90,0,0,1,0,0,0,0,0,0,0,0,27,16.8,31.8,6.0,5.5,1,0.00,0.15,0.15,0.44,6,False,74,Arsenal,DEF,59,Arsenal,Fulham,1,0,False,Fulham,8
Jakub Kiwior,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,74,Arsenal,DEF,54,Arsenal,Fulham,1,0,False,Fulham,8
Myles Lewis-Skelly,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,74,Arsenal,DEF,52,Arsenal,Fulham,1,0,False,Fulham,8
