name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,90,0,0,1,0,0,0,0,0,0,3,0,28,20.0,0.0,0.0,2.0,1,0.00,0.00,0.00,1.05,7,False,291,Arsenal,GK,60,Everton,Arsenal,0,2,True,Everton,30
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,291,Arsenal,GK,41,Everton,Arsenal,0,2,True,Everton,30
Karl Hein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,291,Arsenal,GK,40,Everton,Arsenal,0,2,True,Everton,30
Tommy Setford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,291,Arsenal,GK,39,Everton,Arsenal,0,2,True,Everton,30
Gabriel dos Santos Magalhães,5,90,0,0,1,0,0,0,0,0,0,0,1,30,21.2,3.0,3.0,2.7,1,0.03,0.06,0.09,1.05,9,False,291,Arsenal,DEF,72,Everton,Arsenal,0,2,True,Everton,30
William Saliba,6,90,0,0,1,0,0,0,0,0,0,0,3,36,33.6,31.8,2.0,6.7,1,0.00,0.09,0.09,1.05,11,True,291,Arsenal,DEF,61,Everton,Arsenal,0,2,True,Everton,30
Riccardo Calafiori,7,73,0,0,1,0,0,0,0,0,0,0,0,29,11.2,17.7,19.0,4.8,1,0.15,0.09,0.24,0.99,6,False,291,Arsenal,DEF,56,Everton,Arsenal,0,2,True,Everton,30
Jurriën Timber,8,37,0,0,0,0,0,0,0,0,0,0,0,3,7.0,1.6,2.0,1.1,1,0.00,0.01,0.01,0.82,1,False,291,Arsenal,DEF,63,Everton,Arsenal,0,2,True,Everton,30
Jakub Kiwior,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,291,Arsenal,DEF,54,Everton,Arsenal,0,2,True,Everton,30
Myles Lewis-Skelly,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,291,Arsenal,DEF,51,Everton,Arsenal,0,2,True,Everton,30
Benjamin White,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,291,Arsenal,DEF,51,Everton,Arsenal,0,2,True,Everton,30
Oleksandr Zinchenko,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,298,Nottingham,DEF,49,Fulham,Nottingham,0,0,True,Fulham,30
Brayden Clarke,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,291,Arsenal,DEF,38,Everton,Arsenal,0,2,True,Everton,30
Maldini Kacurri,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,291,Arsenal,DEF,39,Everton,Arsenal,0,2,True,Everton,30
Josh Nichols,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,291,Arsenal,DEF,37,Everton,Arsenal,0,2,True,Everton,30
Bukayo Saka,16,90,0,0,1,0,0,0,0,0,0,0,0,12,9.4,29.8,35.0,7.4,1,0.15,0.09,0.24,1.05,3,False,291,Arsenal,MID,98,Everton,Arsenal,0,2,True,Everton,30
Martin Ødegaard,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,291,Arsenal,MID,78,Everton,Arsenal,0,2,True,Everton,30
Noni Madueke,18,60,0,0,1,0,0,0,0,0,0,0,0,12,10.2,24.0,28.0,6.2,1,0.07,0.08,0.15,0.98,3,False,291,Arsenal,MID,68,Everton,Arsenal,0,2,True,Everton,30
Gabriel Martinelli Silva,19,29,0,1,0,0,0,0,0,0,0,0,0,15,20.0,14.5,11.0,4.6,0,0.04,0.09,0.13,0.08,4,False,291,Arsenal,MID,68,Everton,Arsenal,0,2,True,Everton,30
Leandro Trossard,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,291,Arsenal,MID,66,Everton,Arsenal,0,2,True,Everton,30
Declan Rice,21,90,0,0,1,0,0,0,0,0,0,0,0,17,16.6,43.7,8.0,6.8,1,0.06,0.14,0.20,1.05,3,False,291,Arsenal,MID,74,Everton,Arsenal,0,2,True,Everton,30
Mikel Merino Zazón,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,291,Arsenal,MID,54,Everton,Arsenal,0,2,True,Everton,30
Fábio Ferreira Vieira,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,291,Arsenal,MID,54,Everton,Arsenal,0,2,True,Everton,30
Christian Nørgaard,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,291,Arsenal,MID,51,Everton,Arsenal,0,2,True,Everton,30
Ethan Nwaneri,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,291,Arsenal,MID,50,Everton,Arsenal,0,2,True,Everton,30
Martín Zubimendi Ibáñez,26,73,0,0,1,0,0,0,0,0,0,0,0,13,8.0,16.8,15.0,4.0,1,0.10,0.12,0.22,0.99,3,False,291,Arsenal,MID,51,Everton,Arsenal,0,2,True,Everton,30
Reiss Nelson,27,5,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,0.0,4.0,0.2,0,0.07,0.00,0.07,0.06,1,False,292,Brentford,MID,48,Wolverhampton,Brentford,2,2,True,Wolverhampton,30
Ismeal Kabia,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,291,Arsenal,MID,45,Everton,Arsenal,0,2,True,Everton,30
Albert Sambi Lokonga,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,291,Arsenal,MID,45,Everton,Arsenal,0,2,True,Everton,30
Kai Havertz,30,60,0,0,1,0,0,0,0,0,0,0,0,7,1.6,14.3,4.0,2.0,1,0.00,0.03,0.03,0.98,2,False,291,Arsenal,FWD,73,Everton,Arsenal,0,2,True,Everton,30
Gabriel Fernando de Jesus,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,291,Arsenal,FWD,64,Everton,Arsenal,0,2,True,Everton,30
Emiliano Martínez Romero,32,90,0,0,0,3,0,0,0,0,0,3,0,5,27.4,0.0,0.0,2.7,1,0.00,0.00,0.00,1.10,2,False,297,Aston Villa,GK,51,Aston Villa,Manchester United,1,3,False,Manchester United,30
Marco Bizot,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,297,Aston Villa,GK,42,Aston Villa,Manchester United,1,3,False,Manchester United,30
Joe Gauci,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,297,Aston Villa,GK,40,Aston Villa,Manchester United,1,3,False,Manchester United,30
Filip Marschall,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,297,Aston Villa,GK,40,Aston Villa,Manchester United,1,3,False,Manchester United,30
Matty Cash,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,297,Aston Villa,DEF,47,Aston Villa,Manchester United,1,3,False,Manchester United,30
