name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,90,0,0,1,0,0,0,0,0,0,1,1,28,16.6,0.0,0.0,1.7,1,0.00,0.00,0.00,0.20,7,False,164,Arsenal,GK,60,Arsenal,Everton,1,0,False,Everton,17
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,164,Arsenal,GK,41,Arsenal,Everton,1,0,False,Everton,17
Karl Hein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,164,Arsenal,GK,40,Arsenal,Everton,1,0,False,Everton,17
Tommy Setford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,164,Arsenal,GK,39,Arsenal,Everton,1,0,False,Everton,17
Gabriel dos Santos Magalhães,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,164,Arsenal,DEF,62,Arsenal,Everton,1,0,False,Everton,17
William Saliba,6,90,0,0,1,0,0,0,0,0,0,0,0,27,17.0,1.4,0.0,1.8,1,0.00,0.02,0.02,0.20,6,False,164,Arsenal,DEF,59,Arsenal,Everton,1,0,False,Everton,17
Riccardo Calafiori,7,90,0,0,1,0,0,0,0,0,0,0,0,25,16.0,4.5,0.0,2.1,1,0.00,0.03,0.03,0.20,6,False,164,Arsenal,DEF,57,Arsenal,Everton,1,0,False,Everton,17
Jurriën Timber,8,90,0,0,1,0,0,0,0,0,0,0,0,26,9.0,13.3,21.0,4.3,1,0.46,0.07,0.53,0.20,6,False,164,Arsenal,DEF,65,Arsenal,Everton,1,0,False,Everton,17
Jakub Kiwior,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,164,Arsenal,DEF,54,Arsenal,Everton,1,0,False,Everton,17
Myles Lewis-Skelly,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,164,Arsenal,DEF,51,Arsenal,Everton,1,0,False,Everton,17
Benjamin White,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,164,Arsenal,DEF,53,Arsenal,Everton,1,0,False,Everton,17
Oleksandr Zinchenko,12,9,0,0,0,0,0,0,0,0,0,0,0,3,2.4,0.8,0.0,0.3,0,0.00,0.00,0.00,0.31,1,False,165,Nottingham,DEF,49,Nottingham,Fulham,0,1,False,Fulham,17
Brayden Clarke,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,164,Arsenal,DEF,38,Arsenal,Everton,1,0,False,Everton,17
Maldini Kacurri,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,164,Arsenal,DEF,39,Arsenal,Everton,1,0,False,Everton,17
Josh Nichols,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,164,Arsenal,DEF,38,Arsenal,Everton,1,0,False,Everton,17
Bukayo Saka,16,90,0,0,1,0,0,0,0,0,0,0,0,17,16.0,19.9,32.0,6.8,1,0.29,0.06,0.35,0.20,3,False,164,Arsenal,MID,103,Arsenal,Everton,1,0,False,Everton,17
Martin Ødegaard,17,87,0,0,1,0,0,0,0,0,0,0,0,12,12.0,56.8,4.0,7.3,1,0.00,0.16,0.16,0.20,3,False,164,Arsenal,MID,78,Arsenal,Everton,1,0,False,Everton,17
Noni Madueke,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,164,Arsenal,MID,68,Arsenal,Everton,1,0,False,Everton,17
Gabriel Martinelli Silva,19,10,0,0,0,0,0,0,0,1,0,0,0,-1,0.0,0.7,8.0,0.9,0,0.00,0.00,0.00,0.00,0,False,164,Arsenal,MID,68,Arsenal,Everton,1,0,False,Everton,17
Leandro Trossard,20,79,0,0,1,0,0,0,0,0,0,0,0,6,2.0,10.0,8.0,2.0,1,0.29,0.03,0.32,0.20,3,False,164,Arsenal,MID,69,Arsenal,Everton,1,0,False,Everton,17
Declan Rice,21,90,0,1,1,0,0,0,0,0,0,0,3,32,24.0,29.8,3.0,5.7,1,0.02,0.20,0.22,0.20,11,True,164,Arsenal,MID,71,Arsenal,Everton,1,0,False,Everton,17
Mikel Merino Zazón,22,2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.1,0.0,0.0,0,0.00,0.00,0.00,0.00,1,False,164,Arsenal,MID,60,Arsenal,Everton,1,0,False,Everton,17
Fábio Ferreira Vieira,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,164,Arsenal,MID,54,Arsenal,Everton,1,0,False,Everton,17
Christian Nørgaard,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,164,Arsenal,MID,52,Arsenal,Everton,1,0,False,Everton,17
Ethan Nwaneri,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,164,Arsenal,MID,51,Arsenal,Everton,1,0,False,Everton,17
