name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,90,0,0,1,0,0,0,0,0,0,2,1,25,14.0,0.0,0.0,1.4,1,0.00,0.00,0.00,0.82,7,False,283,Arsenal,GK,60,Arsenal,Brighton,1,0,False,Brighton,29
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,283,Arsenal,GK,41,Arsenal,Brighton,1,0,False,Brighton,29
Karl Hein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,283,Arsenal,GK,40,Arsenal,Brighton,1,0,False,Brighton,29
Tommy Setford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,283,Arsenal,GK,39,Arsenal,Brighton,1,0,False,Brighton,29
Gabriel dos Santos Magalhães,5,90,0,0,1,0,0,0,0,0,0,0,3,40,37.6,0.3,2.0,4.0,1,0.00,0.00,0.00,0.82,11,True,283,Arsenal,DEF,72,Arsenal,Brighton,1,0,False,Brighton,29
William Saliba,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,283,Arsenal,DEF,61,Arsenal,Brighton,1,0,False,Brighton,29
Riccardo Calafiori,7,26,0,0,0,0,0,0,0,0,0,0,0,2,4.6,0.9,0.0,0.6,0,0.00,0.00,0.00,0.18,1,False,283,Arsenal,DEF,56,Arsenal,Brighton,1,0,False,Brighton,29
Jurriën Timber,8,90,0,1,1,0,0,0,0,0,0,0,2,33,36.4,20.8,2.0,5.9,1,0.00,0.07,0.07,0.82,13,True,283,Arsenal,DEF,63,Arsenal,Brighton,1,0,False,Brighton,29
Jakub Kiwior,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,283,Arsenal,DEF,54,Arsenal,Brighton,1,0,False,Brighton,29
Myles Lewis-Skelly,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,283,Arsenal,DEF,51,Arsenal,Brighton,1,0,False,Brighton,29
Benjamin White,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,283,Arsenal,DEF,51,Arsenal,Brighton,1,0,False,Brighton,29
Oleksandr Zinchenko,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,287,Nottingham,DEF,49,Nottingham,Manchester City,2,2,False,Manchester City,29
Brayden Clarke,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,283,Arsenal,DEF,38,Arsenal,Brighton,1,0,False,Brighton,29
Maldini Kacurri,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,283,Arsenal,DEF,39,Arsenal,Brighton,1,0,False,Brighton,29
Josh Nichols,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,283,Arsenal,DEF,37,Arsenal,Brighton,1,0,False,Brighton,29
Bukayo Saka,16,90,1,0,1,0,0,0,0,0,0,0,1,25,34.0,1.1,27.0,6.2,1,0.12,0.01,0.13,0.82,9,False,283,Arsenal,MID,98,Arsenal,Brighton,1,0,False,Brighton,29
Martin Ødegaard,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,283,Arsenal,MID,78,Arsenal,Brighton,1,0,False,Brighton,29
Noni Madueke,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,283,Arsenal,MID,68,Arsenal,Brighton,1,0,False,Brighton,29
Gabriel Martinelli Silva,19,59,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3,4.0,0.2,1,0.07,0.00,0.07,0.55,1,False,283,Arsenal,MID,68,Arsenal,Brighton,1,0,False,Brighton,29
Leandro Trossard,20,30,0,0,0,0,0,0,0,0,0,0,0,-1,5.6,14.8,8.0,2.8,0,0.14,0.07,0.21,0.27,1,False,283,Arsenal,MID,67,Arsenal,Brighton,1,0,False,Brighton,29
Declan Rice,21,90,0,0,1,0,0,0,0,0,0,0,0,19,25.8,27.0,0.0,5.3,1,0.00,0.07,0.07,0.82,3,False,283,Arsenal,MID,74,Arsenal,Brighton,1,0,False,Brighton,29
Mikel Merino Zazón,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,283,Arsenal,MID,54,Arsenal,Brighton,1,0,False,Brighton,29
Fábio Ferreira Vieira,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,283,Arsenal,MID,54,Arsenal,Brighton,1,0,False,Brighton,29
Christian Nørgaard,24,10,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,1,False,283,Arsenal,MID,51,Arsenal,Brighton,1,0,False,Brighton,29
Ethan Nwaneri,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,283,Arsenal,MID,50,Arsenal,Brighton,1,0,False,Brighton,29
Martín Zubimendi Ibáñez,26,79,0,0,1,0,0,0,0,0,0,0,0,7,10.0,0.7,4.0,1.5,1,0.03,0.00,0.03,0.82,3,False,283,Arsenal,MID,52,Arsenal,Brighton,1,0,False,Brighton,29
Reiss Nelson,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,282,Brentford,MID,48,Brentford,Bournemouth,0,0,False,Bournemouth,29
Ismeal Kabia,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,283,Arsenal,MID,45,Arsenal,Brighton,1,0,False,Brighton,29
Albert Sambi Lokonga,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,283,Arsenal,MID,45,Arsenal,Brighton,1,0,False,Brighton,29
Kai Havertz,30,31,0,0,0,0,0,0,0,0,0,0,0,6,3.4,0.7,23.0,2.7,0,0.10,0.00,0.10,0.27,1,False,283,Arsenal,FWD,73,Arsenal,Brighton,1,0,False,Brighton,29
Gabriel Fernando de Jesus,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,283,Arsenal,FWD,64,Arsenal,Brighton,1,0,False,Brighton,29
Emiliano Martínez Romero,32,90,0,0,0,4,0,0,0,0,0,4,0,13,37.2,10.0,0.0,4.7,1,0.00,0.01,0.01,3.60,1,False,281,Aston Villa,GK,51,Chelsea,Aston Villa,4,1,True,Chelsea,29
Marco Bizot,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,281,Aston Villa,GK,42,Chelsea,Aston Villa,4,1,True,Chelsea,29
Joe Gauci,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,281,Aston Villa,GK,40,Chelsea,Aston Villa,4,1,True,Chelsea,29
Filip Marschall,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,281,Aston Villa,GK,40,Chelsea,Aston Villa,4,1,True,Chelsea,29
