name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,90,0,0,1,0,0,0,0,0,0,1,0,28,13.4,0.0,0.0,1.3,1,0.00,0.00,0.00,0.17,6,False,11,Arsenal,GK,55,Leeds United,Arsenal,0,5,True,Leeds United,2
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,11,Arsenal,GK,45,Leeds United,Arsenal,0,5,True,Leeds United,2
Karl Hein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,11,Arsenal,GK,40,Leeds United,Arsenal,0,5,True,Leeds United,2
Tommy Setford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,11,Arsenal,GK,40,Leeds United,Arsenal,0,5,True,Leeds United,2
Gabriel dos Santos Magalhães,5,90,0,0,1,0,0,0,0,0,0,0,0,26,13.4,3.3,6.0,2.3,1,0.04,0.01,0.05,0.17,6,False,11,Arsenal,DEF,61,Leeds United,Arsenal,0,5,True,Leeds United,2
William Saliba,6,90,0,0,1,0,0,0,0,0,0,0,0,27,18.4,2.1,2.0,2.3,1,0.00,0.01,0.01,0.17,6,False,11,Arsenal,DEF,61,Leeds United,Arsenal,0,5,True,Leeds United,2
Riccardo Calafiori,7,63,0,2,1,0,0,0,0,0,0,0,1,38,38.0,21.4,22.0,8.1,1,0.39,0.01,0.40,0.17,13,True,11,Arsenal,DEF,56,Leeds United,Arsenal,0,5,True,Leeds United,2
Jurriën Timber,8,63,2,1,1,0,0,0,0,0,0,0,3,68,95.0,28.5,75.0,19.9,1,0.81,0.05,0.86,0.17,24,True,11,Arsenal,DEF,55,Leeds United,Arsenal,0,5,True,Leeds United,2
Jakub Kiwior,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,11,Arsenal,DEF,55,Leeds United,Arsenal,0,5,True,Leeds United,2
Myles Lewis-Skelly,10,26,0,0,0,0,0,0,0,0,0,0,0,7,4.2,3.7,0.0,0.8,0,0.00,0.00,0.00,0.00,1,False,11,Arsenal,DEF,54,Leeds United,Arsenal,0,5,True,Leeds United,2
Benjamin White,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,11,Arsenal,DEF,55,Leeds United,Arsenal,0,5,True,Leeds United,2
Oleksandr Zinchenko,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,11,Arsenal,DEF,50,Leeds United,Arsenal,0,5,True,Leeds United,2
Brayden Clarke,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,11,Arsenal,DEF,40,Leeds United,Arsenal,0,5,True,Leeds United,2
Maldini Kacurri,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,11,Arsenal,DEF,40,Leeds United,Arsenal,0,5,True,Leeds United,2
Josh Nichols,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,11,Arsenal,DEF,40,Leeds United,Arsenal,0,5,True,Leeds United,2
Bukayo Saka,16,52,1,0,0,0,0,0,0,0,0,0,0,27,40.4,30.4,21.0,9.2,1,0.11,0.03,0.14,0.17,6,False,11,Arsenal,MID,100,Leeds United,Arsenal,0,5,True,Leeds United,2
Martin Ødegaard,17,37,0,0,0,0,0,0,0,0,0,0,0,5,1.6,4.4,3.0,0.9,1,0.05,0.05,0.10,0.17,1,False,11,Arsenal,MID,80,Leeds United,Arsenal,0,5,True,Leeds United,2
Noni Madueke,18,63,0,0,1,0,0,0,0,0,0,0,0,10,5.6,26.9,10.0,4.3,1,0.00,0.09,0.09,0.17,3,False,11,Arsenal,MID,70,Leeds United,Arsenal,0,5,True,Leeds United,2
Gabriel Martinelli Silva,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,11,Arsenal,MID,70,Leeds United,Arsenal,0,5,True,Leeds United,2
Leandro Trossard,20,37,0,0,0,0,0,0,0,0,0,0,0,4,5.4,21.5,4.0,3.1,0,0.07,0.03,0.10,0.00,1,False,11,Arsenal,MID,70,Leeds United,Arsenal,0,5,True,Leeds United,2
Declan Rice,21,90,0,1,1,0,0,0,0,0,0,0,0,26,25.2,50.0,2.0,7.7,1,0.00,0.54,0.54,0.17,6,False,11,Arsenal,MID,65,Leeds United,Arsenal,0,5,True,Leeds United,2
Mikel Merino Zazón,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,11,Arsenal,MID,59,Leeds United,Arsenal,0,5,True,Leeds United,2
Fábio Ferreira Vieira,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,11,Arsenal,MID,55,Leeds United,Arsenal,0,5,True,Leeds United,2
Christian Nørgaard,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,11,Arsenal,MID,54,Leeds United,Arsenal,0,5,True,Leeds United,2
Ethan Nwaneri,25,52,0,0,0,0,0,0,0,0,0,0,0,3,5.6,1.8,5.0,1.2,0,0.02,0.01,0.03,0.00,1,False,11,Arsenal,MID,54,Leeds United,Arsenal,0,5,True,Leeds United,2
Martín Zubimendi Ibáñez,26,90,0,0,1,0,0,0,0,0,0,0,0,12,6.4,6.9,1.0,1.4,1,0.02,0.02,0.04,0.17,3,False,11,Arsenal,MID,55,Leeds United,Arsenal,0,5,True,Leeds United,2
Reiss Nelson,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,11,Arsenal,MID,50,Leeds United,Arsenal,0,5,True,Leeds United,2
Ismeal Kabia,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,11,Arsenal,MID,45,Leeds United,Arsenal,0,5,True,Leeds United,2
Albert Sambi Lokonga,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,11,Arsenal,MID,45,Leeds United,Arsenal,0,5,True,Leeds United,2
