name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,180,0,0,0,3,0,0,0,0,0,2,0,10,20.0,0.0,0.0,2.0,2,0.00,0.00,0.00,1.80,3,False,-1,Arsenal,GK,60,,,-1,-1,False,,26
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,-1,Arsenal,GK,41,,,-1,-1,False,,26
Karl Hein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,-1,Arsenal,GK,40,,,-1,-1,False,,26
Tommy Setford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,-1,Arsenal,GK,39,,,-1,-1,False,,26
Gabriel dos Santos Magalhães,5,180,0,1,0,3,0,0,0,1,0,0,0,35,75.8,21.4,8.0,10.5,2,0.12,0.17,0.29,1.80,7,False,-1,Arsenal,DEF,71,,,-1,-1,False,,26
William Saliba,6,90,0,0,0,2,0,0,0,0,0,0,0,7,18.0,2.7,0.0,2.1,1,0.00,0.01,0.01,0.29,1,False,-1,Arsenal,DEF,61,,,-1,-1,False,,26
Riccardo Calafiori,7,10,0,0,0,1,0,0,0,0,0,0,0,1,1.6,1.6,0.0,0.4,0,0.00,0.01,0.01,0.50,2,False,-1,Arsenal,DEF,56,,,-1,-1,False,,26
Jurriën Timber,8,180,0,0,0,3,0,0,0,0,0,0,0,24,26.2,29.9,10.0,6.6,2,0.00,0.13,0.13,1.80,3,False,-1,Arsenal,DEF,64,,,-1,-1,False,,26
Jakub Kiwior,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,-1,Arsenal,DEF,54,,,-1,-1,False,,26
Myles Lewis-Skelly,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,-1,Arsenal,DEF,51,,,-1,-1,False,,26
Benjamin White,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,-1,Arsenal,DEF,51,,,-1,-1,False,,26
Oleksandr Zinchenko,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,257,Nottingham,DEF,49,Wolverhampton,Nottingham,0,0,True,Wolverhampton,26
Brayden Clarke,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,-1,Arsenal,DEF,38,,,-1,-1,False,,26
Maldini Kacurri,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,-1,Arsenal,DEF,39,,,-1,-1,False,,26
Josh Nichols,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,-1,Arsenal,DEF,37,,,-1,-1,False,,26
Bukayo Saka,16,92,1,0,0,2,0,0,0,0,0,0,3,39,51.8,21.2,45.0,11.9,1,0.55,0.13,0.68,0.86,13,True,-1,Arsenal,MID,98,,,-1,-1,False,,26
Martin Ødegaard,17,45,0,0,0,1,0,0,0,0,0,0,0,3,1.0,3.6,10.0,1.5,0,0.04,0.07,0.11,1.09,1,False,-1,Arsenal,MID,78,,,-1,-1,False,,26
Noni Madueke,18,133,1,0,1,1,0,0,0,0,0,0,3,37,44.6,14.5,61.0,12.0,2,0.33,0.08,0.41,0.88,13,True,-1,Arsenal,MID,68,,,-1,-1,False,,26
Gabriel Martinelli Silva,19,99,0,0,0,2,0,0,0,0,0,0,0,10,19.0,28.8,65.0,11.3,1,0.70,0.12,0.82,0.62,3,False,-1,Arsenal,MID,68,,,-1,-1,False,,26
Leandro Trossard,20,100,0,0,0,1,0,0,0,0,0,0,0,15,11.0,21.5,20.0,5.3,1,0.18,0.11,0.29,1.18,3,False,-1,Arsenal,MID,68,,,-1,-1,False,,26
Declan Rice,21,180,0,1,0,3,0,0,0,0,0,0,3,54,56.4,65.6,13.0,13.5,2,0.03,0.69,0.72,1.80,14,True,-1,Arsenal,MID,76,,,-1,-1,False,,26
